선수A,종족A,선수B,종족B,맞대결매치,A매치승,A매치패,A세트승,A세트패,A세트승률
유영진,테란,조일장,저그,7,4,3,14,11,56.0
김민철,저그,유영진,테란,8,6,2,15,8,65.2
김민철,저그,장윤철,프로토스,7,6,1,17,6,73.9
김민철,저그,조일장,저그,5,4,1,13,9,59.1
김택용,프로토스,박상현,저그,4,1,3,8,11,42.1
김명운,저그,도재욱,프로토스,6,4,2,12,6,66.7
박상현,저그,이영호,테란,5,2,3,8,10,44.4
장윤철,프로토스,조일장,저그,8,3,5,6,11,35.3
도재욱,프로토스,이재호,테란,6,5,1,10,6,62.5
이영호,테란,장윤철,프로토스,4,3,1,11,5,68.8
김명운,저그,변현제,프로토스,4,1,3,4,10,28.6
김민철,저그,변현제,프로토스,4,3,1,9,5,64.3
도재욱,프로토스,조기석,테란,7,3,4,6,7,46.2
김택용,프로토스,임홍규,저그,6,5,1,10,3,76.9
도재욱,프로토스,유영진,테란,6,3,3,6,7,46.2
김민철,저그,김택용,프로토스,5,4,1,8,5,61.5
변현제,프로토스,임홍규,저그,5,2,3,7,6,53.8
김민철,저그,도재욱,프로토스,3,2,1,7,6,53.8
김성대,저그,도재욱,프로토스,6,2,4,4,8,33.3
김성대,저그,조기석,테란,5,3,2,6,6,50.0
정윤종,프로토스,조기석,테란,4,1,3,4,8,33.3
김민철,저그,이재호,테란,3,3,0,8,4,66.7
김성대,저그,정윤종,프로토스,6,1,5,3,8,27.3
김지성,테란,이재호,테란,6,3,3,5,6,45.5
도재욱,프로토스,박성균,테란,6,4,2,6,5,54.5
변현제,프로토스,조일장,저그,5,1,4,4,7,36.4
유영진,테란,정영재,테란,5,3,2,6,5,54.5
김민철,저그,정윤종,프로토스,4,2,2,5,6,45.5
김성현,테란,조기석,테란,4,3,1,8,3,72.7
변현제,프로토스,장윤철,프로토스,4,0,4,2,9,18.2
변현제,프로토스,황병영,테란,4,1,3,5,6,45.5
이영호,테란,이재호,테란,4,4,0,10,1,90.9
이재호,테란,이제동,저그,3,3,0,8,3,72.7
장윤철,프로토스,정윤종,프로토스,3,1,2,5,6,45.5
조기석,테란,조일장,저그,2,1,1,5,6,45.5
김성대,저그,변현제,프로토스,5,1,4,3,7,30.0
김지성,테란,변현제,프로토스,5,0,5,1,9,10.0
도재욱,프로토스,박상현,저그,4,1,3,4,6,40.0
박성균,테란,조일장,저그,4,2,2,5,5,50.0
박상현,저그,장윤철,프로토스,3,2,1,7,3,70.0
변현제,프로토스,유영진,테란,3,1,2,4,6,40.0
김명운,저그,임홍규,저그,2,2,0,7,3,70.0
김민철,저그,정영재,테란,2,1,1,5,5,50.0
장윤철,프로토스,황병영,테란,2,2,0,8,2,80.0
박성균,테란,조기석,테란,5,1,4,2,7,22.2
김택용,프로토스,정영재,테란,4,3,1,6,3,66.7
김택용,프로토스,최호선,테란,4,4,0,7,2,77.8
송병구,프로토스,이재호,테란,4,1,3,3,6,33.3
정윤종,프로토스,조일장,저그,4,1,3,4,5,44.4
김명운,저그,조일장,저그,2,0,2,3,6,33.3
김정우,저그,변현제,프로토스,2,0,2,2,7,22.2
임홍규,저그,조일장,저그,2,1,1,6,3,66.7
유영진,테란,황병영,테란,5,3,2,5,3,62.5
윤찬희,테란,이영한,저그,5,1,4,2,6,25.0
이재호,테란,임홍규,저그,5,1,4,2,6,25.0
김정우,저그,장윤철,프로토스,4,2,2,3,5,37.5
박성균,테란,이영호,테란,4,0,4,1,7,12.5
송병구,프로토스,장윤철,프로토스,4,1,3,3,5,37.5
이영호,테란,이제동,저그,4,2,2,4,4,50.0
김명운,저그,김민철,저그,3,2,1,4,4,50.0
김정우,저그,정윤종,프로토스,3,2,1,6,2,75.0
김택용,프로토스,이재호,테란,3,2,1,4,4,50.0
김택용,프로토스,조기석,테란,3,2,1,5,3,62.5
유영진,테란,이재호,테란,2,2,0,5,3,62.5
정영재,테란,조일장,저그,2,2,0,5,3,62.5
김명운,저그,김택용,프로토스,5,2,3,3,4,42.9
김지성,테란,이영한,저그,5,3,2,5,2,71.4
이영한,저그,이제동,저그,5,2,3,3,4,42.9
이재호,테란,황병영,테란,5,5,0,7,0,100.0
김성대,저그,이재호,테란,4,3,1,4,3,57.1
김윤중,프로토스,유영진,테란,4,1,3,2,5,28.6
김지성,테란,조일장,저그,4,3,1,5,2,71.4
변현제,프로토스,이재호,테란,4,0,4,1,6,14.3
김명운,저그,정영재,테란,3,2,1,5,2,71.4
김민철,저그,이영호,테란,3,0,3,2,5,28.6
김정우,저그,김택용,프로토스,3,1,2,3,4,42.9
유영진,테란,임홍규,저그,3,2,1,4,3,57.1
이제동,저그,조일장,저그,3,1,2,2,5,28.6
김명운,저그,이재호,테란,2,1,1,4,3,57.1
김성현,테란,김윤중,프로토스,2,1,1,4,3,57.1
김지성,테란,유영진,테란,2,1,1,4,3,57.1
박상현,저그,유영진,테란,2,1,1,4,3,57.1
박상현,저그,이재호,테란,2,1,1,3,4,42.9
이재호,테란,정윤종,프로토스,2,1,1,5,2,71.4
김명운,저그,박상현,저그,1,1,0,4,3,57.1
김민철,저그,김지성,테란,1,0,1,3,4,42.9
김명운,저그,유영진,테란,4,3,1,4,2,66.7
김태영,테란,김택용,프로토스,4,1,3,2,4,33.3
도재욱,프로토스,방태수,저그,4,2,2,3,3,50.0
박성균,테란,유영진,테란,4,2,2,3,3,50.0
송병구,프로토스,임홍규,저그,4,2,2,3,3,50.0
송병구,프로토스,이제동,저그,4,1,3,1,5,16.7
이영한,저그,이재호,테란,4,1,3,2,4,33.3
김명운,저그,김정우,저그,3,1,2,2,4,33.3
김성대,저그,장윤철,프로토스,3,0,3,1,5,16.7
김승현,프로토스,김정우,저그,3,0,3,1,5,16.7
김택용,프로토스,조일장,저그,3,1,2,2,4,33.3
도재욱,프로토스,조일장,저그,3,1,2,3,3,50.0
염보성,테란,이영호,테란,3,1,2,2,4,33.3
윤찬희,테란,황병영,테란,3,1,2,3,3,50.0
김명운,저그,이영호,테란,2,1,1,3,3,50.0
김명운,저그,박성균,테란,2,1,1,3,3,50.0
김명운,저그,장윤철,프로토스,2,1,1,3,3,50.0
김민철,저그,조기석,테란,2,2,0,5,1,83.3
김성대,저그,김윤중,프로토스,2,1,1,3,3,50.0
김성현,테란,이영호,테란,2,1,1,3,3,50.0
김택용,프로토스,이영호,테란,2,0,2,1,5,16.7
김택용,프로토스,도재욱,프로토스,2,2,0,4,2,66.7
박성균,테란,정영재,테란,2,0,2,1,5,16.7
염보성,테란,조일장,저그,2,2,0,4,2,66.7
염보성,테란,조기석,테란,2,0,2,2,4,33.3
임홍규,저그,장윤철,프로토스,2,2,0,4,2,66.7
정영재,테란,조기석,테란,2,1,1,3,3,50.0
박상현,저그,정윤종,프로토스,1,0,1,2,4,33.3
김성대,저그,최호선,테란,5,4,1,4,1,80.0
김윤중,프로토스,최호선,테란,5,3,2,3,2,60.0
김민철,저그,김윤중,프로토스,4,2,2,3,2,60.0
김민철,저그,이제동,저그,4,2,2,3,2,60.0
김정우,저그,유영진,테란,4,3,1,4,1,80.0
이제동,저그,조기석,테란,4,2,2,3,2,60.0
조일장,저그,황병영,테란,4,3,1,4,1,80.0
김성대,저그,김정우,저그,3,2,1,2,3,40.0
김성현,테란,장윤철,프로토스,3,1,2,1,4,20.0
김윤중,프로토스,이재호,테란,3,2,1,3,2,60.0
김택용,프로토스,박준오,저그,3,2,1,4,1,80.0
김택용,프로토스,염보성,테란,3,2,1,2,3,40.0
박상현,저그,최호선,테란,3,3,0,4,1,80.0
이영웅,테란,장윤철,프로토스,3,1,2,2,3,40.0
이영한,저그,이영호,테란,3,0,3,0,5,0.0
김성대,저그,유영진,테란,2,2,0,4,1,80.0
김성현,테란,변현제,프로토스,2,1,1,3,2,60.0
김윤중,프로토스,이영호,테란,2,0,2,0,5,0.0
