맵,총세트,사용대회,동족전세트,프로토스승_vs테란,프로토스패_vs테란,프로토스승률_vs테란,테란승_vs저그,테란패_vs저그,테란승률_vs저그,프로토스승_vs저그,프로토스패_vs저그,프로토스승률_vs저그,테란_세트승,테란_세트패,프로토스_세트승,프로토스_세트패,저그_세트승,저그_세트패
이클립스,122,5,22,20,13,60.6,15,11,57.7,16,25,39.0,38,41,40,42,44,39
서킷브레이커,117,6,27,14,20,41.2,17,12,58.6,14,13,51.9,49,38,38,43,30,36
폴리포이드,84,6,23,7,12,36.8,11,8,57.9,12,11,52.2,30,22,23,27,31,35
투혼,82,8,22,8,9,47.1,13,7,65.0,13,10,56.5,35,28,24,22,23,32
매치포인트,71,7,23,11,6,64.7,9,7,56.2,7,8,46.7,27,30,20,16,24,25
네오 실피드,66,3,17,10,6,62.5,7,9,43.8,7,10,41.2,19,25,21,20,26,21
라데온,65,4,13,7,9,43.8,8,10,44.4,12,6,66.7,24,24,21,17,20,24
폴스타,56,4,17,7,3,70.0,2,11,15.4,7,9,43.8,19,32,16,14,21,10
레트로,46,3,8,6,7,46.2,8,10,44.4,3,4,42.9,19,20,9,11,18,15
글래디에이터,41,5,14,7,2,77.8,2,1,66.7,10,5,66.7,7,11,22,12,12,18
실피드 3,40,4,11,3,4,42.9,5,8,38.5,7,2,77.8,15,17,11,7,14,16
녹아웃,40,3,9,6,5,54.5,5,3,62.5,6,6,50.0,15,14,13,12,12,14
도미네이터 SE,38,2,9,4,3,57.1,2,7,22.2,6,7,46.2,8,14,13,13,17,11
어센션,37,2,9,4,5,44.4,4,5,44.4,7,3,70.0,11,11,12,9,14,17
벤젠,36,3,6,6,6,50.0,1,8,11.1,4,5,44.4,8,15,12,13,16,8
메트로폴리스,34,2,6,2,1,66.7,3,4,42.9,12,6,66.7,8,10,16,9,10,15
아포칼립스,33,2,8,6,4,60.0,5,6,45.5,3,1,75.0,11,14,11,7,11,12
버미어 SE,31,2,9,2,2,50.0,8,5,61.5,3,2,60.0,16,13,5,4,10,14
화이트아웃,30,2,6,3,1,75.0,4,3,57.1,7,6,53.8,10,11,11,8,9,11
골드러시,29,1,12,2,4,33.3,2,3,40.0,2,4,33.3,10,9,6,10,13,10
카멜롯,28,1,8,3,2,60.0,4,2,66.7,3,6,33.3,8,7,9,11,11,10
크로싱필드,28,1,8,6,3,66.7,3,1,75.0,3,4,42.9,9,10,9,7,10,11
실피드,28,1,7,4,5,44.4,3,3,50.0,5,1,83.3,10,9,10,7,8,12
알레그로,28,2,5,0,8,0.0,5,6,45.5,2,2,50.0,15,8,4,12,9,8
트랜지스터,27,1,11,2,1,66.7,2,2,50.0,3,6,33.3,5,6,12,14,10,7
버터 2,26,1,12,3,3,50.0,4,2,66.7,1,1,50.0,12,10,5,5,9,11
네메시스,26,2,10,1,2,33.3,5,3,62.5,2,3,40.0,11,8,3,5,12,13
네오 다크 오리진,25,2,5,6,2,75.0,2,6,25.0,1,3,25.0,5,13,8,6,12,6
블록체인,24,1,4,4,5,44.4,1,5,16.7,3,2,60.0,7,10,9,9,8,5
링잉 블룸,23,1,5,3,2,60.0,1,4,20.0,4,4,50.0,5,9,8,7,10,7
다크 오리진,23,1,5,4,1,80.0,2,7,22.2,1,3,25.0,6,14,5,4,12,5
신 단장의 능선,22,1,4,4,1,80.0,3,6,33.3,2,2,50.0,7,13,6,3,9,6
에스컬레이드,21,1,7,3,0,100.0,4,1,80.0,2,4,33.3,8,8,7,6,6,7
도미네이터,21,1,3,6,6,50.0,1,4,20.0,0,1,0.0,9,12,6,7,6,2
스파클,20,1,6,1,2,33.3,0,4,0.0,5,2,71.4,3,6,11,9,6,5
옥타곤,20,1,10,1,1,50.0,5,1,83.3,0,2,0.0,14,10,1,3,5,7
제3세계,19,1,6,2,0,100.0,2,2,50.0,5,2,71.4,2,4,12,7,5,8
아우토반,19,1,1,1,3,25.0,3,5,37.5,1,5,16.7,7,7,2,8,10,4
버미어,18,1,1,1,3,25.0,2,2,50.0,4,5,44.4,5,3,5,8,8,7
멀티버스,17,1,4,1,1,50.0,4,2,66.7,1,4,20.0,7,5,3,6,7,6
이너코븐,17,1,5,4,2,66.7,1,1,50.0,2,2,50.0,6,8,6,4,5,5
리볼버,17,1,7,3,1,75.0,3,2,60.0,1,0,100.0,5,6,7,4,5,7
데자뷰,17,1,5,1,2,33.3,5,1,83.3,1,2,33.3,10,5,4,6,3,6
안드로메다,16,1,3,1,1,50.0,4,3,57.1,1,3,25.0,6,5,3,5,7,6
네오 트랜지스터,16,2,4,0,4,0.0,1,3,25.0,1,3,25.0,7,5,2,8,7,3
버터,16,1,4,2,1,66.7,0,3,0.0,3,3,50.0,1,5,6,5,9,6
오디세이,16,1,5,0,0,,4,1,80.0,4,2,66.7,7,4,4,2,5,10
인베이더,16,2,4,2,1,66.7,2,2,50.0,1,4,20.0,4,5,3,5,9,6
오버워치,15,1,5,3,2,60.0,4,1,80.0,0,0,,10,8,4,3,1,4
태풍의눈,15,1,2,1,5,16.7,2,2,50.0,2,1,66.7,9,5,3,6,3,4
데미안 2,15,1,6,2,2,50.0,1,0,100.0,3,1,75.0,7,6,7,5,1,4
네오 그라운드제로,15,1,3,0,1,0.0,2,3,40.0,4,2,66.7,5,5,4,3,6,7
메타버스,15,2,0,3,1,75.0,5,1,83.3,3,2,60.0,6,4,6,3,3,8
블리츠 Y,15,1,4,1,3,25.0,3,0,100.0,1,3,25.0,9,4,2,6,4,5
민스트럴,15,1,5,4,2,66.7,0,3,0.0,0,1,0.0,5,10,5,4,5,1
제인 도,15,1,5,0,2,0.0,3,2,60.0,1,2,33.3,9,6,1,4,5,5
아웃사이더 SE,14,1,3,2,1,66.7,2,0,100.0,1,5,16.7,4,3,4,7,6,4
오버워치(2),14,1,5,1,2,33.3,1,0,100.0,4,1,80.0,6,4,7,5,1,5
호라이즌 달 기지,14,1,5,1,1,50.0,1,3,25.0,0,3,0.0,4,6,2,5,8,3
히든트랙,14,1,7,1,1,50.0,1,1,50.0,1,2,33.3,5,5,4,5,5,4
라 캄파넬라,14,2,5,1,0,100.0,4,2,66.7,0,2,0.0,7,6,1,2,6,6
시타델,14,1,3,2,1,66.7,3,1,75.0,2,2,50.0,5,4,5,4,4,6
데자뷰 SE,14,1,2,1,1,50.0,3,2,60.0,4,1,80.0,4,3,7,4,3,7
폴라리스 랩소디,13,2,4,1,0,100.0,0,1,0.0,4,3,57.1,2,4,6,4,5,5
트라이포드,13,1,4,0,1,0.0,3,1,75.0,2,2,50.0,6,3,4,5,3,5
샤쿠러스 템플,13,2,5,0,2,0.0,1,1,50.0,2,2,50.0,4,2,2,4,7,7
템페스트,13,1,0,2,3,40.0,2,2,50.0,2,2,50.0,5,4,4,5,4,4
킥백,13,1,2,4,2,66.7,1,3,25.0,0,1,0.0,5,9,4,3,4,1
판테온,13,1,3,1,3,25.0,2,2,50.0,0,2,0.0,7,5,1,5,5,3
얼티메이트 스트림,12,1,2,2,2,50.0,0,1,0.0,3,2,60.0,2,3,6,5,4,4
라르고,12,1,4,1,1,50.0,2,1,66.7,0,3,0.0,3,2,3,6,6,4
리트머스,11,1,3,3,0,100.0,1,1,50.0,1,2,33.3,2,5,4,2,5,4
애티튜드,11,1,6,0,3,0.0,1,1,50.0,0,0,,9,6,0,3,2,2
옵티마이저,10,1,4,0,1,0.0,2,1,66.7,0,2,0.0,4,2,1,4,5,4
굿나잇,10,1,2,1,0,100.0,1,4,20.0,0,2,0.0,1,5,1,2,8,3
모노폴리,10,1,1,2,3,40.0,1,1,50.0,1,1,50.0,4,3,4,5,2,2
네오 알카노이드,10,1,2,0,0,,2,3,40.0,1,2,33.3,3,4,1,2,6,4
울돌목,10,1,1,1,1,50.0,0,2,0.0,0,5,0.0,1,3,1,6,8,1
블록체인 SE,9,1,4,1,1,50.0,2,1,66.7,0,0,,4,3,3,3,2,3
리볼버 SE,9,1,0,3,2,60.0,0,1,0.0,2,1,66.7,2,4,5,3,2,2
히치하이커,8,1,2,0,0,,3,1,75.0,1,1,50.0,3,1,3,3,2,4
레몬,8,1,1,2,0,100.0,3,1,75.0,1,0,100.0,3,3,4,1,1,4
