대회,라운드,선수A,종족A,선수B,종족B,세트A,세트B,승자,총세트,맵목록
대국민 스타리그,32강,김건욱,Z,김택용,P,0,1,김택용,1,서킷브레이커
대국민 스타리그,32강,신상문,T,한상봉,Z,0,1,한상봉,1,서킷브레이커
대국민 스타리그,32강,김택용,P,한상봉,Z,1,0,김택용,1,투혼
대국민 스타리그,32강,김건욱,Z,신상문,T,1,0,김건욱,1,투혼
대국민 스타리그,32강,김건욱,Z,한상봉,Z,1,0,김건욱,1,매치포인트
대국민 스타리그,32강,김명운,Z,김봉준,P,1,0,김명운,1,서킷브레이커
대국민 스타리그,32강,유영진,T,임진묵,T,0,1,임진묵,1,서킷브레이커
대국민 스타리그,32강,김명운,Z,임진묵,T,1,0,김명운,1,투혼
대국민 스타리그,32강,김봉준,P,유영진,T,0,1,유영진,1,투혼
대국민 스타리그,32강,유영진,T,임진묵,T,1,0,유영진,1,매치포인트
대국민 스타리그,32강,임홍규,Z,최호선,T,1,0,임홍규,1,서킷브레이커
대국민 스타리그,32강,김윤중,P,진영화,P,0,1,진영화,1,서킷브레이커
대국민 스타리그,32강,임홍규,Z,진영화,P,1,0,임홍규,1,투혼
대국민 스타리그,32강,김윤중,P,최호선,T,0,1,최호선,1,투혼
대국민 스타리그,32강,진영화,P,최호선,T,0,1,최호선,1,매치포인트
대국민 스타리그,32강,구성훈,T,서문지훈,Z,1,0,구성훈,1,서킷브레이커
대국민 스타리그,32강,김정우,Z,박세정,P,1,0,김정우,1,서킷브레이커
대국민 스타리그,32강,구성훈,T,김정우,Z,1,0,구성훈,1,투혼
대국민 스타리그,32강,박세정,P,서문지훈,Z,0,1,서문지훈,1,투혼
대국민 스타리그,32강,김정우,Z,서문지훈,Z,1,0,김정우,1,매치포인트
대국민 스타리그,32강,박재현,P,조기석,T,0,1,조기석,1,서킷브레이커
대국민 스타리그,32강,강정우,T,박성균,T,1,0,강정우,1,서킷브레이커
대국민 스타리그,32강,강정우,T,조기석,T,0,1,조기석,1,투혼
대국민 스타리그,32강,박성균,T,박재현,P,1,0,박성균,1,투혼
대국민 스타리그,32강,강정우,T,박성균,T,0,1,박성균,1,매치포인트
대국민 스타리그,32강,박성준,Z,심대성,Z,1,0,박성준,1,서킷브레이커
대국민 스타리그,32강,김재현,T,김재훈,P,0,1,김재훈,1,서킷브레이커
대국민 스타리그,32강,김재훈,P,박성준,Z,1,0,김재훈,1,투혼
대국민 스타리그,32강,김재현,T,심대성,Z,1,0,김재현,1,투혼
대국민 스타리그,32강,김재현,T,박성준,Z,0,1,박성준,1,매치포인트
대국민 스타리그,32강,정윤성,P,조일장,Z,0,1,조일장,1,서킷브레이커
대국민 스타리그,32강,김승현,P,염보성,T,1,0,김승현,1,서킷브레이커
대국민 스타리그,32강,김승현,P,조일장,Z,1,0,김승현,1,투혼
대국민 스타리그,32강,염보성,T,정윤성,P,1,0,염보성,1,투혼
대국민 스타리그,32강,염보성,T,조일장,Z,1,0,염보성,1,매치포인트
대국민 스타리그,32강,김성현,T,윤용태,P,1,0,김성현,1,서킷브레이커
대국민 스타리그,32강,김상곤,Z,윤찬희,T,0,1,윤찬희,1,서킷브레이커
대국민 스타리그,32강,김성현,T,윤찬희,T,1,0,김성현,1,투혼
대국민 스타리그,32강,김상곤,Z,윤용태,P,0,1,윤용태,1,투혼
대국민 스타리그,32강,윤용태,P,윤찬희,T,1,0,윤용태,1,매치포인트
대국민 스타리그,16강,김재훈,P,김택용,P,0,1,김택용,1,서킷브레이커
대국민 스타리그,16강,김건욱,Z,조기석,T,0,1,조기석,1,투혼
대국민 스타리그,16강,김정우,Z,박성준,Z,1,0,김정우,1,매치포인트
대국민 스타리그,16강,염보성,T,윤용태,P,1,0,염보성,1,아카디아 2
