선수,슬러그,종족,종족코드,우승,준우승,출전대회,최고성적,매치승,매치패,매치승률,세트승,세트패,세트승률,vs테란_세트승,vs테란_세트패,vs프로토스_세트승,vs프로토스_세트패,vs저그_세트승,vs저그_세트패
김민철,kim-mincheol,저그,Z,4,0,20,결승전,63,36,63.6,137,94,59.3,51,33,59,33,27,28
이영호,lee-yeongho,테란,T,4,2,10,결승전,48,10,82.8,108,38,74.0,33,7,32,7,43,24
김명운,kim-myeongun,저그,Z,2,0,14,결승전,42,27,60.9,86,68,55.8,27,21,33,26,26,21
박상현,park-sanghyeon,저그,Z,2,1,11,결승전,33,17,66.0,76,53,58.9,23,22,35,19,18,12
김정우,kim-jeongu,저그,Z,2,0,11,결승전,40,22,64.5,64,40,61.5,19,9,28,22,17,9
이재호,lee-jaeho,테란,T,1,1,20,결승전,55,45,55.0,103,88,53.9,25,22,39,28,39,38
변현제,byun-hyeonje,프로토스,P,1,3,18,결승전,48,39,55.2,101,80,55.8,38,30,7,13,56,37
정윤종,jung-yunjong,프로토스,P,1,1,13,결승전,42,25,62.7,80,59,57.6,25,25,19,7,36,27
임홍규,lim-honggyu,저그,Z,1,0,13,결승전,36,30,54.5,62,58,51.7,15,12,29,28,18,18
정영재,jung-yeongjae,테란,T,1,0,14,결승전,30,31,49.2,52,55,48.6,19,19,9,17,24,19
김윤중,kim-yunjung,프로토스,P,1,0,16,결승전,35,35,50.0,50,54,48.1,24,28,9,12,17,14
김성현,kim-seonghyeon,테란,T,1,0,9,결승전,28,15,65.1,44,30,59.5,17,8,15,16,12,6
김지성,kim-jiseong,테란,T,1,0,13,결승전,28,29,49.1,41,46,47.1,11,18,8,15,22,13
조일장,cho-iljang,저그,Z,0,2,19,결승전,56,39,58.9,117,100,53.9,46,46,41,23,30,31
장윤철,jang-yuncheol,프로토스,P,0,3,20,결승전,56,38,59.6,108,88,55.1,33,20,36,15,39,53
유영진,yoo-yeongjin,테란,T,0,2,21,결승전,54,46,54.0,102,97,51.3,30,28,29,21,43,48
김택용,kim-taekyong,프로토스,P,0,1,17,결승전,59,34,63.4,100,79,55.9,40,28,11,10,49,41
도재욱,do-jaeuk,프로토스,P,0,1,22,결승전,59,46,56.2,98,89,52.4,44,36,11,15,43,38
조기석,cho-giseok,테란,T,0,2,21,결승전,50,44,53.2,90,86,51.1,37,24,27,34,26,28
김성대,kim-seongdae,저그,Z,0,0,16,3-4위전,40,36,52.6,65,64,50.4,29,23,23,31,13,10
박성균,park-seonggyun,테란,T,0,1,14,결승전,35,36,49.3,51,58,46.8,13,28,17,15,21,15
이제동,lee-jedong,저그,Z,0,0,16,4강,37,34,52.1,49,49,50.0,26,19,12,14,11,16
황병영,hwang-byeongyeong,테란,T,0,0,12,4강,25,26,49.0,36,45,44.4,12,16,14,17,10,12
이영한,lee-yeonghan,저그,Z,0,1,13,결승전,25,27,48.1,32,37,46.4,13,19,10,7,9,11
최호선,choi-hoseon,테란,T,0,0,15,8강,24,34,41.4,29,42,40.8,12,8,10,19,7,15
송병구,song-byeonggu,프로토스,P,0,0,15,8강,23,29,44.2,28,37,43.1,11,14,9,11,8,12
염보성,yeom-boseong,테란,T,0,1,9,결승전,18,22,45.0,27,31,46.6,6,14,12,10,9,7
윤찬희,yoon-chanhui,테란,T,0,0,19,8강,21,41,33.9,26,47,35.6,6,16,14,9,6,22
김승현,kim-seunghyeon,프로토스,P,0,0,8,8강,16,18,47.1,18,22,45.0,9,8,6,5,3,9
윤용태,yoon-yongtae,프로토스,P,0,0,9,8강,13,21,38.2,17,26,39.5,7,10,4,6,6,10
김윤환,kim-yunhwan,저그,Z,0,0,8,8강,10,17,37.0,13,23,36.1,3,10,5,9,5,4
신상문,shin-sangmun,테란,T,0,0,5,4강,9,10,47.4,13,14,48.1,5,2,5,3,3,9
이경민,lee-gyeongmin,프로토스,P,0,0,7,8강,11,15,42.3,13,19,40.6,8,3,2,6,3,10
이예훈,lee-yehun,저그,Z,0,0,9,8강,10,19,34.5,12,24,33.3,7,12,3,12,2,0
김태영,kim-taeyeong,테란,T,0,0,8,16강,10,18,35.7,11,21,34.4,2,6,4,9,5,6
김재훈,kim-jaehun,프로토스,P,0,0,4,8강,9,11,45.0,10,13,43.5,7,3,1,8,2,2
이영웅,lee-yeongung,테란,T,0,0,7,16강,9,14,39.1,10,19,34.5,7,4,3,9,0,6
임진묵,lim-jinmuk,테란,T,0,0,7,16강,9,18,33.3,9,19,32.1,5,5,1,10,3,4
박준오,park-juno,저그,Z,0,0,8,8강,8,15,34.8,8,19,29.6,2,6,5,9,1,4
진영화,jin-yeonghwa,프로토스,P,0,0,7,16강,8,16,33.3,8,16,33.3,1,7,3,3,4,6
고석현,ko-seokhyeon,저그,Z,0,0,5,16강,7,11,38.9,7,11,38.9,3,6,1,1,3,4
윤수철,yoon-sucheol,프로토스,P,0,0,6,8강,5,12,29.4,7,17,29.2,5,7,0,0,2,10
방태수,bang-taesu,저그,Z,0,0,2,16강,4,4,50.0,6,6,50.0,1,1,4,5,1,0
김경모,kim-gyeongmo,저그,Z,0,0,5,16강,5,11,31.2,5,12,29.4,1,5,4,3,0,4
유진우,yoo-jinu,저그,Z,0,0,5,16강,5,11,31.2,5,12,29.4,4,5,0,5,1,2
한두열,han-duyeol,저그,Z,0,0,8,16강,5,16,23.8,5,16,23.8,4,7,1,4,0,5
배병우,bae-byeongu,저그,Z,0,0,1,16강,3,3,50.0,4,5,44.4,1,0,2,3,1,2
손경훈,son-gyeonghun,프로토스,P,0,0,1,16강,3,2,60.0,4,4,50.0,2,0,0,0,2,4
김건욱,kim-geonuk,저그,Z,0,0,1,16강,3,3,50.0,3,3,50.0,2,2,0,1,1,0
김범수,kim-beomsu,프로토스,P,0,0,3,16강,3,7,30.0,3,8,27.3,3,0,0,3,0,5
김재현,kim-jaehyeon,테란,T,0,0,2,24강,3,3,50.0,3,3,50.0,1,0,0,1,2,2
박성준,park-seongjun,저그,Z,0,0,1,16강,3,3,50.0,3,3,50.0,2,0,0,1,1,2
서문지훈,seo-munjihun,저그,Z,0,0,4,16강,3,8,27.3,3,9,25.0,0,7,2,1,1,1
유승곤,yoo-seunggon,테란,T,0,0,4,16강,3,9,25.0,3,10,23.1,1,6,1,3,1,1
구성훈,koo-seonghun,테란,T,0,0,4,16강,2,9,18.2,2,9,18.2,0,3,0,3,2,3
김현우,kim-hyeonu,저그,Z,0,0,1,16강,2,3,40.0,2,3,40.0,1,2,0,1,1,0
원지훈,won-jihun,프로토스,P,0,0,3,24강,2,6,25.0,2,6,25.0,2,2,0,0,0,4
전태양,jeon-taeyang,테란,T,0,0,2,24강,2,4,33.3,2,4,33.3,1,2,0,2,1,0
강정우,kang-jeongu,테란,T,0,0,1,32강,1,2,33.3,1,2,33.3,1,2,0,0,0,0
박재혁,park-jaehyeok,저그,Z,0,0,2,24강,1,4,20.0,1,4,20.0,0,2,0,2,1,0
박지수,park-jisu,테란,T,0,0,1,24강,1,2,33.3,1,2,33.3,1,2,0,0,0,0
박지호,park-jiho,프로토스,P,0,0,2,24강,1,4,20.0,1,4,20.0,0,1,1,2,0,1
박지훈,park-jihun,프로토스,P,0,0,3,24강,1,6,14.3,1,6,14.3,1,2,0,2,0,2
변형태,byun-hyeongtae,테란,T,0,0,1,24강,1,2,33.3,1,2,33.3,0,1,1,0,0,1
윤진규,yoon-jingyu,저그,Z,0,0,1,24강,1,2,33.3,1,2,33.3,1,0,0,2,0,0
이윤열,lee-yunyeol,테란,T,0,0,1,24강,1,2,33.3,1,2,33.3,1,0,0,1,0,1
정민기,jung-mingi,테란,T,0,0,2,24강,1,4,20.0,1,4,20.0,0,0,1,3,0,1
하늘,ha-neul,프로토스,P,0,0,2,24강,1,4,20.0,1,4,20.0,0,1,1,1,0,2
한상봉,han-sangbong,저그,Z,0,0,1,32강,1,2,33.3,1,2,33.3,1,0,0,1,0,1
홍덕,hong-deok,프로토스,P,0,0,3,24강,1,6,14.3,1,6,14.3,1,3,0,0,0,3
강태완,kang-taewan,테란,T,0,0,2,24강,0,4,0.0,0,4,0.0,0,0,0,3,0,1
김규회,kim-gyuhoe,프로토스,P,0,0,1,24강,0,2,0.0,0,2,0.0,0,1,0,1,0,0
김기훈,kim-gihun,프로토스,P,0,0,2,24강,0,4,0.0,0,4,0.0,0,1,0,1,0,2
김범성,kim-beomseong,저그,Z,0,0,1,24강,0,2,0.0,0,2,0.0,0,1,0,1,0,0
