대회,라운드,선수A,선수B,세트번호,맵
대국민 스타리그,32강,김건욱,김택용,1,서킷브레이커
대국민 스타리그,32강,신상문,한상봉,1,서킷브레이커
대국민 스타리그,32강,김택용,한상봉,1,투혼
대국민 스타리그,32강,김건욱,신상문,1,투혼
대국민 스타리그,32강,김건욱,한상봉,1,매치포인트
대국민 스타리그,32강,김명운,김봉준,1,서킷브레이커
대국민 스타리그,32강,유영진,임진묵,1,서킷브레이커
대국민 스타리그,32강,김명운,임진묵,1,투혼
대국민 스타리그,32강,김봉준,유영진,1,투혼
대국민 스타리그,32강,유영진,임진묵,1,매치포인트
대국민 스타리그,32강,임홍규,최호선,1,서킷브레이커
대국민 스타리그,32강,김윤중,진영화,1,서킷브레이커
대국민 스타리그,32강,임홍규,진영화,1,투혼
대국민 스타리그,32강,김윤중,최호선,1,투혼
대국민 스타리그,32강,진영화,최호선,1,매치포인트
대국민 스타리그,32강,구성훈,서문지훈,1,서킷브레이커
대국민 스타리그,32강,김정우,박세정,1,서킷브레이커
대국민 스타리그,32강,구성훈,김정우,1,투혼
대국민 스타리그,32강,박세정,서문지훈,1,투혼
대국민 스타리그,32강,김정우,서문지훈,1,매치포인트
대국민 스타리그,32강,박재현,조기석,1,서킷브레이커
대국민 스타리그,32강,강정우,박성균,1,서킷브레이커
대국민 스타리그,32강,강정우,조기석,1,투혼
대국민 스타리그,32강,박성균,박재현,1,투혼
대국민 스타리그,32강,강정우,박성균,1,매치포인트
대국민 스타리그,32강,박성준,심대성,1,서킷브레이커
대국민 스타리그,32강,김재현,김재훈,1,서킷브레이커
대국민 스타리그,32강,김재훈,박성준,1,투혼
대국민 스타리그,32강,김재현,심대성,1,투혼
대국민 스타리그,32강,김재현,박성준,1,매치포인트
대국민 스타리그,32강,정윤성,조일장,1,서킷브레이커
대국민 스타리그,32강,김승현,염보성,1,서킷브레이커
대국민 스타리그,32강,김승현,조일장,1,투혼
대국민 스타리그,32강,염보성,정윤성,1,투혼
대국민 스타리그,32강,염보성,조일장,1,매치포인트
대국민 스타리그,32강,김성현,윤용태,1,서킷브레이커
대국민 스타리그,32강,김상곤,윤찬희,1,서킷브레이커
대국민 스타리그,32강,김성현,윤찬희,1,투혼
대국민 스타리그,32강,김상곤,윤용태,1,투혼
대국민 스타리그,32강,윤용태,윤찬희,1,매치포인트
대국민 스타리그,16강,김재훈,김택용,1,서킷브레이커
대국민 스타리그,16강,김건욱,조기석,1,투혼
대국민 스타리그,16강,김정우,박성준,1,매치포인트
대국민 스타리그,16강,염보성,윤용태,1,아카디아 2
대국민 스타리그,16강,박성균,임홍규,1,투혼
대국민 스타리그,16강,구성훈,김성현,1,매치포인트
대국민 스타리그,16강,김명운,유영진,1,아카디아 2
대국민 스타리그,16강,김승현,최호선,1,서킷브레이커
대국민 스타리그,16강,김택용,임홍규,1,매치포인트
대국민 스타리그,16강,구성훈,김건욱,1,아카디아 2
대국민 스타리그,16강,김정우,유영진,1,서킷브레이커
대국민 스타리그,16강,김승현,윤용태,1,투혼
대국민 스타리그,16강,김재훈,박성균,1,아카디아 2
대국민 스타리그,16강,김성현,조기석,1,서킷브레이커
대국민 스타리그,16강,김명운,박성준,1,투혼
대국민 스타리그,16강,염보성,최호선,1,매치포인트
대국민 스타리그,16강,김택용,박성균,1,서킷브레이커
대국민 스타리그,16강,김건욱,김성현,1,투혼
대국민 스타리그,16강,김명운,김정우,1,매치포인트
대국민 스타리그,16강,윤용태,최호선,1,아카디아 2
대국민 스타리그,16강,김재훈,임홍규,1,투혼
대국민 스타리그,16강,구성훈,조기석,1,매치포인트
대국민 스타리그,16강,박성준,유영진,1,아카디아 2
대국민 스타리그,16강,김승현,염보성,1,서킷브레이커
대국민 스타리그,16강,김택용,임홍규,1,서킷브레이커
대국민 스타리그,16강,김택용,박성균,1,투혼
대국민 스타리그,16강,박성균,임홍규,1,매치포인트
대국민 스타리그,16강,윤용태,최호선,1,서킷브레이커
대국민 스타리그,16강,염보성,최호선,1,투혼
대국민 스타리그,16강,염보성,윤용태,1,매치포인트
대국민 스타리그,8강,김성현,김택용,1,서킷브레이커
대국민 스타리그,8강,김성현,김택용,2,글래디에이터
대국민 스타리그,8강,김성현,김택용,3,매치포인트
대국민 스타리그,8강,박성균,조기석,1,서킷브레이커
대국민 스타리그,8강,박성균,조기석,2,투혼
대국민 스타리그,8강,박성균,조기석,3,매치포인트
대국민 스타리그,8강,박성균,조기석,4,글래디에이터
대국민 스타리그,8강,김명운,윤용태,1,투혼
대국민 스타리그,8강,김명운,윤용태,2,글래디에이터
대국민 스타리그,8강,김명운,윤용태,3,서킷브레이커
대국민 스타리그,8강,김명운,윤용태,4,매치포인트
대국민 스타리그,8강,김승현,김정우,1,서킷브레이커
대국민 스타리그,8강,김승현,김정우,2,매치포인트
대국민 스타리그,8강,김승현,김정우,3,글래디에이터
대국민 스타리그,8강,김승현,김정우,4,투혼
대국민 스타리그,4강,김택용,조기석,1,글래디에이터
대국민 스타리그,4강,김택용,조기석,2,서킷브레이커
대국민 스타리그,4강,김택용,조기석,3,투혼
대국민 스타리그,4강,김택용,조기석,4,매치포인트
대국민 스타리그,4강,김명운,김정우,1,서킷브레이커
대국민 스타리그,4강,김명운,김정우,2,글래디에이터
대국민 스타리그,4강,김명운,김정우,3,투혼
대국민 스타리그,4강,김명운,김정우,4,매치포인트
대국민 스타리그,3-4위전,김명운,조기석,1,서킷브레이커
대국민 스타리그,3-4위전,김명운,조기석,2,매치포인트
대국민 스타리그,3-4위전,김명운,조기석,3,투혼
대국민 스타리그,결승전,김정우,김택용,1,서킷브레이커
대국민 스타리그,결승전,김정우,김택용,2,글래디에이터
대국민 스타리그,결승전,김정우,김택용,3,투혼
대국민 스타리그,결승전,김정우,김택용,4,매치포인트
ASL Season 1,16강,김윤중,김정우,1,투혼
ASL Season 1,16강,임진묵,조기석,1,서킷브레이커
ASL Season 1,16강,김명운,이영호,1,오버워치
ASL Season 1,16강,김성현,윤찬희,1,태백산맥
ASL Season 1,16강,윤용태,최호선,1,투혼
ASL Season 1,16강,김재훈,임홍규,1,서킷브레이커
ASL Season 1,16강,박성균,염보성,1,오버워치
ASL Season 1,16강,도재욱,조일장,1,태백산맥
ASL Season 1,16강,김정우,윤용태,1,서킷브레이커
ASL Season 1,16강,임홍규,조기석,1,투혼
ASL Season 1,16강,김명운,박성균,1,태백산맥
ASL Season 1,16강,김성현,도재욱,1,오버워치
ASL Season 1,16강,김윤중,최호선,1,서킷브레이커
ASL Season 1,16강,김재훈,임진묵,1,투혼
ASL Season 1,16강,염보성,이영호,1,태백산맥
ASL Season 1,16강,윤찬희,조일장,1,오버워치
ASL Season 1,16강,김정우,최호선,1,오버워치
ASL Season 1,16강,김재훈,조기석,1,태백산맥
ASL Season 1,16강,김명운,염보성,1,서킷브레이커
ASL Season 1,16강,김성현,조일장,1,투혼
ASL Season 1,16강,김윤중,윤용태,1,태백산맥
ASL Season 1,16강,임진묵,임홍규,1,오버워치
ASL Season 1,16강,박성균,이영호,1,투혼
ASL Season 1,16강,도재욱,윤찬희,1,서킷브레이커
ASL Season 1,16강,김재훈,조기석,1,서킷브레이커
ASL Season 1,16강,김재훈,임진묵,1,오버워치
ASL Season 1,16강,임진묵,조기석,1,투혼
ASL Season 1,16강,김재훈,조기석,1,오버워치
ASL Season 1,16강,김재훈,임진묵,1,투혼
ASL Season 1,16강,임진묵,조기석,1,서킷브레이커
ASL Season 1,8강,조기석,최호선,1,서킷브레이커
ASL Season 1,8강,조기석,최호선,2,신 태백산맥
ASL Season 1,8강,조기석,최호선,3,투혼
ASL Season 1,8강,조기석,최호선,4,오버워치
ASL Season 1,8강,염보성,조일장,1,투혼
ASL Season 1,8강,염보성,조일장,2,신 태백산맥
ASL Season 1,8강,염보성,조일장,3,오버워치
ASL Season 1,8강,염보성,조일장,4,서킷브레이커
ASL Season 1,8강,염보성,조일장,5,투혼
ASL Season 1,8강,김윤중,김재훈,1,서킷브레이커
ASL Season 1,8강,김윤중,김재훈,2,신 태백산맥
ASL Season 1,8강,김윤중,김재훈,3,투혼
ASL Season 1,8강,김윤중,김재훈,4,오버워치
ASL Season 1,8강,김성현,이영호,1,투혼
ASL Season 1,8강,김성현,이영호,2,서킷브레이커
ASL Season 1,8강,김성현,이영호,3,오버워치
ASL Season 1,4강,염보성,조기석,1,투혼
ASL Season 1,4강,염보성,조기석,2,신 태백산맥
ASL Season 1,4강,염보성,조기석,3,오버워치
ASL Season 1,4강,염보성,조기석,4,서킷브레이커
ASL Season 1,4강,염보성,조기석,5,투혼
ASL Season 1,4강,김성현,김윤중,1,오버워치
ASL Season 1,4강,김성현,김윤중,2,신 태백산맥
ASL Season 1,4강,김성현,김윤중,3,서킷브레이커
ASL Season 1,4강,김성현,김윤중,4,투혼
ASL Season 1,결승전,김윤중,조기석,1,서킷브레이커
ASL Season 1,결승전,김윤중,조기석,2,오버워치
ASL Season 1,결승전,김윤중,조기석,3,투혼
ASL Season 2,24강,김택용,임홍규,1,벤젠
ASL Season 2,24강,김승현,김태영,1,벤젠
ASL Season 2,24강,김태영,김택용,1,서킷브레이커
ASL Season 2,24강,김승현,임홍규,1,서킷브레이커
ASL Season 2,24강,김승현,김태영,1,태풍의눈
ASL Season 2,24강,김정우,이재호,1,벤젠
ASL Season 2,24강,김범성,정윤종,1,벤젠
ASL Season 2,24강,김정우,정윤종,1,서킷브레이커
ASL Season 2,24강,김범성,이재호,1,서킷브레이커
ASL Season 2,24강,김정우,이재호,1,태풍의눈
ASL Season 2,24강,송병구,유영진,1,벤젠
ASL Season 2,24강,윤용태,한두열,1,벤젠
ASL Season 2,24강,송병구,윤용태,1,서킷브레이커
ASL Season 2,24강,유영진,한두열,1,서킷브레이커
ASL Season 2,24강,유영진,윤용태,1,태풍의눈
ASL Season 2,24강,이영호,이예준,1,벤젠
ASL Season 2,24강,김민철,진영화,1,벤젠
ASL Season 2,24강,김민철,이영호,1,서킷브레이커
ASL Season 2,24강,이예준,진영화,1,서킷브레이커
ASL Season 2,24강,김민철,진영화,1,태풍의눈
ASL Season 2,24강,윤찬희,이제동,1,벤젠
ASL Season 2,24강,김규회,도재욱,1,벤젠
ASL Season 2,24강,도재욱,이제동,1,서킷브레이커
ASL Season 2,24강,김규회,윤찬희,1,서킷브레이커
ASL Season 2,24강,윤찬희,이제동,1,태풍의눈
ASL Season 2,24강,박성균,조일장,1,벤젠
ASL Season 2,24강,변형태,최영현,1,벤젠
ASL Season 2,24강,변형태,조일장,1,서킷브레이커
ASL Season 2,24강,박성균,최영현,1,서킷브레이커
ASL Season 2,24강,박성균,변형태,1,태풍의눈
ASL Season 2,16강,김승현,김윤중,1,데미안 2
ASL Season 2,16강,송병구,이재호,1,데미안 2
ASL Season 2,16강,김승현,송병구,1,벤젠
ASL Season 2,16강,김윤중,이재호,1,벤젠
ASL Season 2,16강,김승현,이재호,1,서킷브레이커
ASL Season 2,16강,박성균,조기석,1,데미안 2
ASL Season 2,16강,도재욱,이제동,1,데미안 2
ASL Season 2,16강,도재욱,박성균,1,벤젠
ASL Season 2,16강,이제동,조기석,1,벤젠
ASL Season 2,16강,박성균,이제동,1,서킷브레이커
ASL Season 2,16강,김성현,유영진,1,데미안 2
ASL Season 2,16강,김택용,조일장,1,데미안 2
ASL Season 2,16강,김성현,김택용,1,벤젠
ASL Season 2,16강,유영진,조일장,1,벤젠
ASL Season 2,16강,김성현,조일장,1,서킷브레이커
ASL Season 2,16강,염보성,이영호,1,데미안 2
ASL Season 2,16강,정윤종,진영화,1,데미안 2
ASL Season 2,16강,이영호,진영화,1,벤젠
ASL Season 2,16강,염보성,정윤종,1,벤젠
ASL Season 2,16강,염보성,진영화,1,서킷브레이커
ASL Season 2,8강,김택용,염보성,1,태풍의눈
ASL Season 2,8강,김택용,염보성,2,데미안 2
ASL Season 2,8강,김택용,염보성,3,서킷브레이커
ASL Season 2,8강,도재욱,조일장,1,서킷브레이커
ASL Season 2,8강,도재욱,조일장,2,태풍의눈
ASL Season 2,8강,도재욱,조일장,3,벤젠
ASL Season 2,8강,도재욱,조일장,4,데미안 2
ASL Season 2,8강,김승현,이영호,1,태풍의눈
ASL Season 2,8강,김승현,이영호,2,서킷브레이커
ASL Season 2,8강,김승현,이영호,3,데미안 2
ASL Season 2,8강,김승현,이영호,4,벤젠
ASL Season 2,8강,송병구,이제동,1,데미안 2
ASL Season 2,8강,송병구,이제동,2,서킷브레이커
ASL Season 2,8강,송병구,이제동,3,태풍의눈
ASL Season 2,4강,도재욱,염보성,1,태풍의눈
ASL Season 2,4강,도재욱,염보성,2,벤젠
ASL Season 2,4강,도재욱,염보성,3,서킷브레이커
ASL Season 2,4강,도재욱,염보성,4,데미안 2
ASL Season 2,4강,도재욱,염보성,5,태풍의눈
ASL Season 2,4강,이영호,이제동,1,태풍의눈
ASL Season 2,4강,이영호,이제동,2,서킷브레이커
ASL Season 2,4강,이영호,이제동,3,데미안 2
ASL Season 2,4강,이영호,이제동,4,벤젠
ASL Season 2,4강,이영호,이제동,5,태풍의눈
ASL Season 2,결승전,염보성,이영호,1,데미안 2
ASL Season 2,결승전,염보성,이영호,2,벤젠
ASL Season 2,결승전,염보성,이영호,3,서킷브레이커
ASL Season 2,결승전,염보성,이영호,4,태풍의눈
ASL Season 3,24강,김윤중,문기호,1,카멜롯
ASL Season 3,24강,김민철,윤찬희,1,카멜롯
ASL Season 3,24강,김윤중,윤찬희,1,서킷브레이커
ASL Season 3,24강,김민철,문기호,1,서킷브레이커
ASL Season 3,24강,김민철,김윤중,1,아웃사이더 SE
ASL Season 3,24강,김정우,장윤철,1,카멜롯
ASL Season 3,24강,윤용태,이영한,1,카멜롯
ASL Season 3,24강,김정우,이영한,1,서킷브레이커
ASL Season 3,24강,윤용태,장윤철,1,서킷브레이커
ASL Season 3,24강,이영한,장윤철,1,아웃사이더 SE
ASL Season 3,24강,김택용,변현제,1,카멜롯
ASL Season 3,24강,김재훈,이재호,1,카멜롯
ASL Season 3,24강,김재훈,김택용,1,서킷브레이커
ASL Season 3,24강,변현제,이재호,1,서킷브레이커
ASL Season 3,24강,김재훈,이재호,1,아웃사이더 SE
ASL Season 3,24강,김기훈,조일장,1,카멜롯
ASL Season 3,24강,정윤종,최호선,1,카멜롯
ASL Season 3,24강,조일장,최호선,1,서킷브레이커
ASL Season 3,24강,김기훈,정윤종,1,서킷브레이커
ASL Season 3,24강,정윤종,조일장,1,아웃사이더 SE
ASL Season 3,24강,김경모,김승현,1,카멜롯
ASL Season 3,24강,박지호,송병구,1,카멜롯
ASL Season 3,24강,김경모,박지호,1,서킷브레이커
ASL Season 3,24강,김승현,송병구,1,서킷브레이커
ASL Season 3,24강,김승현,박지호,1,아웃사이더 SE
ASL Season 3,24강,고석현,김성현,1,카멜롯
ASL Season 3,24강,임홍규,진영화,1,카멜롯
ASL Season 3,24강,김성현,임홍규,1,서킷브레이커
ASL Season 3,24강,고석현,진영화,1,서킷브레이커
ASL Season 3,24강,고석현,임홍규,1,아웃사이더 SE
ASL Season 3,16강,고석현,이영호,1,안드로메다
ASL Season 3,16강,김경모,이영한,1,안드로메다
ASL Season 3,16강,이영한,이영호,1,카멜롯
ASL Season 3,16강,고석현,김경모,1,카멜롯
ASL Season 3,16강,고석현,이영한,1,서킷브레이커
ASL Season 3,16강,김정우,염보성,1,안드로메다
ASL Season 3,16강,김민철,김택용,1,안드로메다
ASL Season 3,16강,김민철,김정우,1,카멜롯
ASL Season 3,16강,김택용,염보성,1,카멜롯
ASL Season 3,16강,김정우,김택용,1,서킷브레이커
ASL Season 3,16강,도재욱,윤찬희,1,안드로메다
ASL Season 3,16강,김승현,김재훈,1,안드로메다
ASL Season 3,16강,김승현,윤찬희,1,카멜롯
ASL Season 3,16강,김재훈,도재욱,1,카멜롯
ASL Season 3,16강,김승현,도재욱,1,서킷브레이커
ASL Season 3,16강,이제동,최호선,1,안드로메다
ASL Season 3,16강,김성현,조일장,1,안드로메다
ASL Season 3,16강,김성현,최호선,1,카멜롯
ASL Season 3,16강,이제동,조일장,1,카멜롯
ASL Season 3,16강,김성현,이제동,1,서킷브레이커
ASL Season 3,8강,김택용,최호선,1,아웃사이더 SE
ASL Season 3,8강,김택용,최호선,2,안드로메다
ASL Season 3,8강,김택용,최호선,3,카멜롯
ASL Season 3,8강,김택용,최호선,4,서킷브레이커
ASL Season 3,8강,김택용,최호선,5,아웃사이더 SE
ASL Season 3,8강,윤찬희,이영한,1,서킷브레이커
ASL Season 3,8강,윤찬희,이영한,2,카멜롯
ASL Season 3,8강,윤찬희,이영한,3,아웃사이더 SE
ASL Season 3,8강,윤찬희,이영한,4,안드로메다
ASL Season 3,8강,김민철,도재욱,1,서킷브레이커
ASL Season 3,8강,김민철,도재욱,2,아웃사이더 SE
ASL Season 3,8강,김민철,도재욱,3,카멜롯
ASL Season 3,8강,김민철,도재욱,4,안드로메다
ASL Season 3,8강,김민철,도재욱,5,서킷브레이커
ASL Season 3,8강,김성현,이영호,1,카멜롯
ASL Season 3,8강,김성현,이영호,2,아웃사이더 SE
ASL Season 3,8강,김성현,이영호,3,안드로메다
ASL Season 3,4강,김택용,이영한,1,서킷브레이커
ASL Season 3,4강,김택용,이영한,2,안드로메다
ASL Season 3,4강,김택용,이영한,3,카멜롯
ASL Season 3,4강,김택용,이영한,4,아웃사이더 SE
ASL Season 3,4강,김민철,이영호,1,서킷브레이커
ASL Season 3,4강,김민철,이영호,2,카멜롯
ASL Season 3,4강,김민철,이영호,3,아웃사이더 SE
ASL Season 3,4강,김민철,이영호,4,안드로메다
ASL Season 3,4강,김민철,이영호,5,서킷브레이커
ASL Season 3,3-4위전,김민철,김택용,1,서킷브레이커
ASL Season 3,3-4위전,김민철,김택용,2,아웃사이더 SE
ASL Season 3,3-4위전,김민철,김택용,3,안드로메다
ASL Season 3,3-4위전,김민철,김택용,4,카멜롯
ASL Season 3,결승전,이영한,이영호,1,서킷브레이커
ASL Season 3,결승전,이영한,이영호,2,카멜롯
ASL Season 3,결승전,이영한,이영호,3,안드로메다
ASL Season 4,24강,박준오,하늘,1,골드러시
ASL Season 4,24강,이재호,임홍규,1,골드러시
ASL Season 4,24강,박준오,임홍규,1,크로싱필드
ASL Season 4,24강,이재호,하늘,1,크로싱필드
ASL Season 4,24강,이재호,임홍규,1,투혼
ASL Season 4,24강,김성현,한두열,1,골드러시
ASL Season 4,24강,송병구,최호선,1,골드러시
ASL Season 4,24강,김성현,최호선,1,크로싱필드
ASL Season 4,24강,송병구,한두열,1,크로싱필드
ASL Season 4,24강,김성현,송병구,1,투혼
ASL Season 4,24강,김기훈,김정우,1,골드러시
ASL Season 4,24강,박성균,유영진,1,골드러시
ASL Season 4,24강,김정우,유영진,1,크로싱필드
ASL Season 4,24강,김기훈,박성균,1,크로싱필드
ASL Season 4,24강,박성균,유영진,1,투혼
ASL Season 4,24강,김태영,도재욱,1,골드러시
ASL Season 4,24강,윤찬희,정윤종,1,골드러시
ASL Season 4,24강,도재욱,윤찬희,1,크로싱필드
ASL Season 4,24강,김태영,정윤종,1,크로싱필드
ASL Season 4,24강,도재욱,정윤종,1,투혼
ASL Season 4,24강,김윤중,이성은,1,골드러시
ASL Season 4,24강,장윤철,조일장,1,골드러시
ASL Season 4,24강,김윤중,조일장,1,크로싱필드
ASL Season 4,24강,이성은,장윤철,1,크로싱필드
ASL Season 4,24강,장윤철,조일장,1,투혼
ASL Season 4,24강,변현제,조기석,1,골드러시
ASL Season 4,24강,구성훈,이제동,1,골드러시
ASL Season 4,24강,이제동,조기석,1,크로싱필드
ASL Season 4,24강,구성훈,변현제,1,크로싱필드
ASL Season 4,24강,변현제,이제동,1,투혼
ASL Season 4,16강,박준오,이영호,1,크로싱필드
ASL Season 4,16강,윤찬희,조기석,1,크로싱필드
ASL Season 4,16강,이영호,조기석,1,골드러시
ASL Season 4,16강,박준오,윤찬희,1,골드러시
ASL Season 4,16강,박준오,조기석,1,투혼
ASL Season 4,16강,이영한,임홍규,1,크로싱필드
ASL Season 4,16강,김정우,조일장,1,크로싱필드
ASL Season 4,16강,김정우,임홍규,1,골드러시
