대회,매치,세트,선수,라운드수,라운드,동족전세트,우승,우승종족,결승스코어,준우승,준우승종족,프로토스승_vs테란,프로토스패_vs테란,테란승_vs저그,테란패_vs저그,프로토스승_vs저그,프로토스패_vs저그
ASL Season 22,13,17,12,2,와일드카드 | 24강,3,,,,,,1,1,2,2,5,3
ASL Season 21,57,100,28,5,24강 | 16강 | 8강 | 4강 | 결승전,35,박상현,Z,4-3,이영호,T,12,11,13,15,5,9
ASL Season 20,57,109,28,5,24강 | 16강 | 8강 | 4강 | 결승전,24,박상현,Z,4-2,장윤철,P,11,8,5,15,26,20
ASL Season 19,57,109,28,5,24강 | 16강 | 8강 | 4강 | 결승전,18,김민철,Z,4-3,도재욱,P,11,7,14,16,18,25
ASL Season 18,57,102,28,5,24강 | 16강 | 8강 | 4강 | 결승전,24,김민철,Z,4-1,조기석,T,19,19,14,15,3,8
ASL Season 17,60,107,28,6,와일드카드 | 24강 | 16강 | 8강 | 4강 | 결승전,26,김민철,Z,4-3,조일장,Z,20,14,13,15,9,10
ASL Season 16,57,100,28,5,24강 | 16강 | 8강 | 4강 | 결승전,20,김민철,Z,4-1,변현제,P,12,10,18,18,9,13
ASL Season 15,57,103,28,5,24강 | 16강 | 8강 | 4강 | 결승전,22,정영재,T,4-1,박성균,T,13,11,20,22,6,9
ASL Season 14,61,118,28,7,와일드카드 | 24강 | 16강 | 8강 | 4강 | 3-4위전 | 결승전,41,김지성,T,4-2,유영진,T,6,8,22,19,12,10
ASL Season 13,58,105,28,6,24강 | 16강 | 8강 | 4강 | 3-4위전 | 결승전,9,이재호,T,4-0,정윤종,P,16,21,10,10,19,20
ASL Season 12,61,110,28,7,와일드카드 | 24강 | 16강 | 8강 | 4강 | 3-4위전 | 결승전,25,변현제,P,4-3,유영진,T,17,14,18,14,11,11
ASL Season 11,61,113,29,7,와일드카드 | 24강 | 16강 | 8강 | 4강 | 3-4위전 | 결승전,28,임홍규,Z,4-3,변현제,P,13,9,11,14,19,19
ASL Season 10,58,102,28,6,24강 | 16강 | 8강 | 4강 | 3-4위전 | 결승전,34,김명운,Z,4-3,박상현,Z,6,8,9,13,13,19
ASL Season 9,61,112,29,7,와일드카드 | 24강 | 16강 | 8강 | 4강 | 3-4위전 | 결승전,32,김명운,Z,4-1,이재호,T,14,6,19,13,9,19
ASL Season 8,61,102,28,7,와일드카드 | 24강 | 16강 | 8강 | 4강 | 3-4위전 | 결승전,31,이영호,T,4-0,장윤철,P,9,9,18,10,13,12
ASL Season 7,60,93,28,7,와일드카드 | 24강 | 16강 | 8강 | 4강 | 3-4위전 | 결승전,16,김성현,T,3-1,변현제,P,13,12,7,11,19,15
ASL Season 6,59,87,27,7,와일드카드 | 24강 | 16강 | 8강 | 4강 | 3-4위전 | 결승전,17,김정우,Z,3-2,이영호,T,8,20,10,14,9,9
ASL Season 5,61,92,29,7,와일드카드 | 24강 | 16강 | 8강 | 4강 | 3-4위전 | 결승전,30,정윤종,P,3-1,장윤철,P,8,3,6,10,21,14
ASL Season 4,58,82,28,6,24강 | 16강 | 8강 | 4강 | 3-4위전 | 결승전,29,이영호,T,3-1,조일장,Z,9,10,6,7,10,11
ASL Season 3,58,83,28,6,24강 | 16강 | 8강 | 4강 | 3-4위전 | 결승전,22,이영호,T,3-0,이영한,Z,6,7,16,6,8,18
ASL Season 2,57,78,28,5,24강 | 16강 | 8강 | 4강 | 결승전,13,이영호,T,3-1,염보성,T,10,18,8,11,13,5
ASL Season 1,37,58,16,4,16강 | 8강 | 4강 | 결승전,24,김윤중,P,3-0,조기석,T,12,5,9,4,2,2
대국민 스타리그,78,100,32,6,32강 | 16강 | 8강 | 4강 | 3-4위전 | 결승전,28,김정우,Z,3-1,김택용,P,15,11,11,10,10,15
