선수A,종족A,선수B,종족B,맞대결수,A매치승,A매치패,A세트승,A세트패,A세트승률
도재욱,프로토스,박상현,저그,9,3,6,36,45,44.4
도재욱,프로토스,이재호,테란,9,4,5,39,42,48.1
도재욱,프로토스,유영진,테란,9,5,4,46,35,56.8
이재호,테란,장윤철,프로토스,9,3,6,37,44,45.7
김지성,테란,박상현,저그,8,2,6,30,42,41.7
박상현,저그,유영진,테란,8,6,2,41,31,56.9
김지성,테란,장윤철,프로토스,7,1,6,18,45,28.6
박상현,저그,이재호,테란,7,3,4,29,34,46.0
김민철,저그,이재호,테란,7,4,3,33,26,55.9
김명운,저그,변현제,프로토스,6,3,3,26,28,48.1
김민철,저그,김지성,테란,6,3,3,25,29,46.3
김성대,저그,장윤철,프로토스,6,2,4,21,33,38.9
김지성,테란,도재욱,프로토스,6,3,3,22,32,40.7
김지성,테란,변현제,프로토스,6,5,1,34,20,63.0
박상현,저그,장윤철,프로토스,6,5,1,35,19,64.8
이재호,테란,조일장,저그,6,4,2,30,24,55.6
김명운,저그,장윤철,프로토스,5,2,3,22,23,48.9
김명운,저그,이재호,테란,5,1,4,17,28,37.8
김지성,테란,조일장,저그,5,5,0,26,19,57.8
변현제,프로토스,이재호,테란,5,1,4,17,28,37.8
변현제,프로토스,유영진,테란,5,4,1,26,19,57.8
유영진,테란,조일장,저그,5,2,3,22,23,48.9
김명운,저그,도재욱,프로토스,4,1,3,15,21,41.7
김명운,저그,김지성,테란,4,1,3,17,19,47.2
김민철,저그,장윤철,프로토스,4,2,2,18,18,50.0
김민철,저그,도재욱,프로토스,4,1,3,19,17,52.8
박상현,저그,변현제,프로토스,4,4,0,24,12,66.7
변현제,프로토스,조일장,저그,4,1,3,15,21,41.7
유영진,테란,장윤철,프로토스,4,1,3,13,23,36.1
이재호,테란,임홍규,저그,4,2,2,18,18,50.0
박상현,저그,정영재,테란,4,3,1,21,11,65.6
김명운,저그,유영진,테란,3,0,3,9,18,33.3
김민철,저그,유영진,테란,3,2,1,15,12,55.6
김성대,저그,이재호,테란,3,0,3,7,20,25.9
김성대,저그,변현제,프로토스,3,1,2,12,15,44.4
도재욱,프로토스,정영재,테란,3,3,0,18,9,66.7
도재욱,프로토스,이제동,저그,3,2,1,16,11,59.3
박상현,저그,조기석,테란,3,3,0,21,6,77.8
김민철,저그,변현제,프로토스,2,1,1,9,9,50.0
김민철,저그,황병영,테란,2,2,0,11,7,61.1
김성대,저그,도재욱,프로토스,2,2,0,10,8,55.6
김성대,저그,김지성,테란,2,1,1,9,9,50.0
김성대,저그,유영진,테란,2,0,2,8,10,44.4
김지성,테란,송병구,프로토스,2,0,2,6,12,33.3
도재욱,프로토스,임홍규,저그,2,1,1,10,8,55.6
도재욱,프로토스,조기석,테란,2,2,0,11,7,61.1
박상현,저그,최호선,테란,2,1,1,8,10,44.4
변현제,프로토스,이제동,저그,2,1,1,9,9,50.0
송병구,프로토스,이재호,테란,2,1,1,9,9,50.0
송병구,프로토스,유영진,테란,2,1,1,9,9,50.0
송병구,프로토스,조기석,테란,2,0,2,5,13,27.8
