맵,총세트,사용일수,첫사용,마지막사용,저그승_vs프로토스,저그패_vs프로토스,저그승률_vs프로토스,테란승_vs저그,테란패_vs저그,테란승률_vs저그,프로토스승_vs테란,프로토스패_vs테란,프로토스승률_vs테란,테란_세트승,테란_세트패,프로토스_세트승,프로토스_세트패,저그_세트승,저그_세트패,2019년_세트,2020년_세트,2021년_세트,2022년_세트,2023년_세트,2024년_세트,2025년_세트,2026년_세트
Polypoid,136,92,2020-02-07,2024-01-16,27,20,57.4,30,20,60.0,18,21,46.2,51,38,38,48,47,50,0,36,53,10,35,2,0,0
Eclipse,130,94,2020-08-31,2025-07-07,18,20,47.4,24,31,43.6,20,17,54.1,41,51,40,35,49,44,0,13,47,35,0,0,35,0
Neo Sylphid,128,104,2019-07-22,2026-07-13,21,24,46.7,23,16,59.0,27,17,61.4,40,43,51,38,37,47,13,21,0,30,32,0,0,32
Radeon,111,64,2024-02-15,2026-02-02,20,17,54.1,22,24,47.8,18,10,64.3,32,42,35,30,44,39,0,0,0,0,0,30,73,8
Vermeer,106,65,2022-01-06,2023-07-10,10,16,38.5,25,14,64.1,22,19,53.7,44,36,38,29,24,41,0,0,0,63,43,0,0,0
Retro,101,63,2023-02-13,2024-07-15,15,16,48.4,15,19,44.1,21,15,58.3,30,40,37,30,34,31,0,0,0,0,66,35,0,0
Dominator,95,54,2024-07-30,2026-02-02,14,19,42.4,18,14,56.2,21,9,70.0,27,35,40,23,28,37,0,0,0,0,0,18,71,6
Pole Star,92,49,2025-01-31,2026-07-13,12,9,57.1,23,18,56.1,11,19,36.7,42,29,20,31,30,32,0,0,0,0,0,0,60,32
Fighting Spirit,77,66,2019-05-14,2022-01-28,16,8,66.7,10,20,33.3,11,12,47.8,22,31,19,28,36,18,22,20,28,7,0,0,0,0
Apocalypse,72,41,2023-07-17,2024-07-15,12,9,57.1,11,10,52.4,19,11,63.3,22,29,28,23,22,20,0,0,0,0,37,35,0,0
KnockOut,72,46,2025-08-14,2026-08-12,6,8,42.9,12,24,33.3,10,12,45.5,24,34,18,18,30,20,0,0,0,0,0,0,26,46
Metropolis,69,37,2025-02-04,2026-02-02,12,12,50.0,18,14,56.2,7,6,53.8,24,21,19,18,26,30,0,0,0,0,0,0,59,10
Allegro,63,49,2021-11-30,2023-01-26,8,6,57.1,10,14,41.7,16,9,64.0,19,30,22,17,22,16,0,0,1,60,2,0,0,0
déjà vu,55,28,2024-07-30,2025-07-29,8,10,44.4,8,9,47.1,10,10,50.0,18,19,20,18,17,18,0,0,0,0,0,22,33,0
Nemesis,54,45,2022-01-06,2023-06-29,8,7,53.3,11,7,61.1,16,5,76.2,16,23,23,13,15,18,0,0,0,24,30,0,0,0
Neo Dark Origin,53,31,2023-07-17,2024-07-15,10,11,47.6,3,8,27.3,10,11,47.6,14,18,21,21,18,14,0,0,0,0,29,24,0,0
Butter,51,42,2022-01-06,2023-01-26,7,2,77.8,9,11,45.0,9,13,40.9,22,20,11,20,18,11,0,0,0,48,3,0,0,0
Octagon,51,27,2026-02-09,2026-08-12,4,8,33.3,12,11,52.2,10,6,62.5,18,21,18,10,15,20,0,0,0,0,0,0,0,51
Ascension,48,38,2021-03-23,2022-01-28,9,9,50.0,10,8,55.6,6,6,50.0,16,14,15,15,17,19,0,0,42,6,0,0,0,0
Revolver,48,37,2021-09-03,2022-08-04,9,10,47.4,8,12,40.0,6,3,66.7,11,18,16,12,21,18,0,0,17,31,0,0,0,0
Circuit Breakers,46,41,2019-05-14,2020-06-23,12,5,70.6,9,6,60.0,5,9,35.7,18,11,10,21,18,14,25,21,0,0,0,0,0,0
Tempest,40,24,2023-07-17,2024-01-18,5,9,35.7,4,9,30.8,8,5,61.5,9,17,17,10,14,13,0,0,0,0,36,4,0,0
Neo Heartbreak Ridge Line,36,29,2019-12-12,2023-07-10,6,7,46.2,5,7,41.7,9,2,81.8,7,16,16,8,13,12,2,4,0,0,30,0,0,0
Match Point,36,26,2020-02-07,2026-07-06,5,6,45.5,6,10,37.5,6,3,66.7,9,16,12,8,15,12,0,16,0,0,0,0,0,20
Odyssey,35,24,2022-01-06,2026-07-16,3,4,42.9,7,6,53.8,8,7,53.3,14,14,12,10,9,11,0,0,0,30,3,0,0,2
Attitude,31,16,2026-02-19,2026-08-12,7,1,87.5,8,13,38.1,0,2,0.0,10,13,1,9,20,9,0,0,0,0,0,0,0,31
Ultimate Stream,29,20,2021-03-23,2021-08-26,4,2,66.7,5,10,33.3,7,1,87.5,6,17,9,5,14,7,0,0,29,0,0,0,0,0
Neo Arkanoid,28,23,2022-01-06,2023-01-26,4,4,50.0,6,2,75.0,5,7,41.7,13,7,9,11,6,10,0,0,0,26,2,0,0,0
Litmus,28,16,2025-08-04,2026-02-02,5,4,55.6,5,2,71.4,8,4,66.7,9,10,12,9,7,9,0,0,0,0,0,0,21,7
Dark Origin,27,23,2023-02-13,2023-07-10,5,4,55.6,4,5,44.4,8,1,88.9,5,13,12,6,10,8,0,0,0,0,27,0,0,0
76,27,22,2023-02-13,2023-06-29,6,5,54.5,3,5,37.5,7,1,87.5,4,12,12,7,11,8,0,0,0,0,27,0,0,0
Overwatch,26,24,2019-05-14,2020-01-19,4,4,50.0,5,4,55.6,7,2,77.8,7,11,11,6,8,9,22,4,0,0,0,0,0,0
BlitzY,26,13,2024-02-13,2024-07-10,5,3,62.5,2,2,50.0,10,4,71.4,6,12,13,9,7,5,0,0,0,0,0,26,0,0
Polaris Rhapsody,24,20,2021-03-23,2021-08-26,2,4,33.3,5,5,50.0,3,5,37.5,10,8,7,7,7,9,0,0,24,0,0,0,0,0
New Bloody Ridge,23,23,2019-07-22,2020-06-23,4,4,50.0,3,7,30.0,2,3,40.0,6,9,6,7,11,7,10,13,0,0,0,0,0,0
Plasma,23,15,2020-08-31,2021-01-10,1,2,33.3,6,4,60.0,7,3,70.0,9,11,9,4,5,8,0,18,5,0,0,0,0,0
