날짜,선수A,종족A,선수B,종족B,세트A,세트B,승자,총세트,맵목록,다시보기
2026-08-20,김명운,Z,김지성,T,0,1,김지성,1,Octagon,
2026-08-12,김지성,T,김택용,P,5,4,김지성,9,Aiolos | Attitude | KnockOut | Octagon | Backrooms | Attitude | Aiolos | KnockOut | Octagon,https://www.youtube.com/watch?v=dPPWOFu0PuI
2026-08-03,김지성,T,이제동,Z,6,3,김지성,9,KnockOut | Attitude | Backrooms | Aiolos | Octagon | Attitude | Backrooms | KnockOut | Octagon,https://www.youtube.com/watch?v=fpRTsM4wXPI
2026-07-29,김지성,T,조일장,Z,6,3,김지성,9,Octagon | Backrooms | Attitude | Aiolos | KnockOut | Octagon | Attitude | Backrooms | KnockOut,https://www.youtube.com/watch?v=fzRfw30LbdE
2026-07-27,장윤철,P,조일장,Z,4,5,조일장,9,Colorless Fate | Octagon | Aiolos | Backrooms | KnockOut | Backrooms | Octagon | Colorless Fate | Aiolos,https://www.youtube.com/watch?v=5gx1JNs1pYY
2026-07-20,이영웅,T,장윤철,P,4,5,장윤철,9,Colorless Fate | Octagon | Aiolos | KnockOut | Backrooms | Aiolos | Octagon | KnockOut | Backrooms,https://www.youtube.com/watch?v=kqcV85ZsIEg
2026-07-16,유영진,T,조일장,Z,4,5,조일장,9,Octagon | Attitude | KnockOut | Aiolos | Odyssey | Attitude | Odyssey | Octagon | KnockOut,https://www.youtube.com/watch?v=_BQJTqDEoCc
2026-07-13,박상현,Z,유영진,T,4,5,유영진,9,Neo Sylphid | Pole Star | Attitude | Octagon | KnockOut | Pole Star | Neo Sylphid | Octagon | Attitude,https://www.youtube.com/watch?v=N1BuzYXwHDc
2026-07-06,변현제,P,유영진,T,3,6,유영진,9,Neo Sylphid | Match Point | Pole Star | KnockOut | Octagon | Pole Star | Match Point | KnockOut | Octagon,https://www.youtube.com/watch?v=tbBmwpPgiDI
2026-06-30,김민철,Z,유영진,T,4,5,유영진,9,Match Point | Attitude | Octagon | Neo Sylphid | KnockOut | Attitude | Match Point | KnockOut | Octagon,https://www.youtube.com/watch?v=RjK9Y4xTxZg
2026-06-25,도재욱,P,유영진,T,4,5,유영진,9,Jane doe | Pole Star | Octagon | KnockOut | Neo Sylphid | Jane doe | Pole Star | Neo Sylphid | KnockOut,https://www.youtube.com/watch?v=xqVOOt7re-E
2026-06-15,유영진,T,장윤철,P,5,4,유영진,9,Pole Star | Match Point | Octagon | KnockOut | Neo Sylphid | Pole Star | Match Point | Octagon | KnockOut,https://www.youtube.com/watch?v=wQ6rgaR3BkI
2026-06-12,이제동,Z,장윤철,P,2,7,장윤철,9,Attitude | Match Point | Octagon | Neo Sylphid | KnockOut | Match Point | Attitude | Octagon | Neo Sylphid,https://www.youtube.com/watch?v=FWyc2E1vCcc
2026-06-09,이재호,T,장윤철,P,4,5,장윤철,9,Pole Star | Neo Sylphid | Match Point | Octagon | KnockOut | Pole Star | Match Point | Neo Sylphid | KnockOut,https://www.youtube.com/watch?v=XDPZGsdRC58
