선수,슬러그,종족,종족코드,매치승,매치패,매치승률,세트승,세트패,세트승률,출전,첫출전,최근출전,최다연승,최다연패,vs테란_세트승,vs테란_세트패,vs프로토스_세트승,vs프로토스_세트패,vs저그_세트승,vs저그_세트패
박상현,park-sanghyeon,저그,Z,39,15,72.2,282,200,58.5,54,2019-09-22,2026-07-13,7,2,171,131,111,69,0,0
이재호,lee-jaeho,테란,T,35,24,59.3,283,244,53.7,59,2019-07-29,2026-06-09,10,4,0,0,127,116,156,128
장윤철,jang-yuncheol,프로토스,P,35,21,62.5,289,215,57.3,56,2019-06-11,2026-07-27,6,4,156,87,0,0,133,128
도재욱,do-jaeuk,프로토스,P,31,26,54.4,275,238,53.6,57,2019-05-14,2026-06-25,5,5,156,123,0,0,119,115
김지성,kim-jiseong,테란,T,28,23,54.9,217,234,48.1,51,2020-04-27,2026-08-20,6,4,0,0,85,113,132,121
유영진,yoo-yeongjin,테란,T,19,24,44.2,184,203,47.5,43,2019-10-02,2026-07-16,5,3,0,0,76,104,108,99
변현제,byun-hyeonje,프로토스,P,18,26,40.9,183,213,46.2,44,2019-05-28,2026-07-06,5,6,90,99,0,0,93,114
김민철,kim-mincheol,저그,Z,17,14,54.8,145,130,52.7,31,2019-05-21,2026-06-30,4,3,99,86,46,44,0,0
조일장,cho-iljang,저그,Z,14,13,51.9,125,118,51.4,27,2020-06-13,2026-07-29,5,5,87,93,38,25,0,0
김명운,kim-myeongun,저그,Z,9,22,29.0,119,152,43.9,31,2019-06-09,2026-08-20,3,6,53,74,66,78,0,0
임홍규,lim-honggyu,저그,Z,8,6,57.1,61,65,48.4,14,2019-06-18,2026-05-25,3,2,27,36,34,29,0,0
김성대,kim-seongdae,저그,Z,7,12,36.8,72,99,42.1,19,2019-09-08,2025-12-09,4,7,29,43,43,56,0,0
송병구,song-byeonggu,프로토스,P,7,8,46.7,67,68,49.6,15,2019-06-25,2026-01-26,3,2,53,46,0,0,14,22
이제동,lee-jedong,저그,Z,7,7,50.0,61,65,48.4,14,2020-06-12,2026-08-03,6,4,23,22,38,43,0,0
이영호,lee-yeongho,테란,T,4,0,100.0,24,12,66.7,4,2019-05-14,2019-06-09,4,0,0,0,13,5,11,7
김택용,kim-taekyong,프로토스,P,3,2,60.0,26,19,57.8,5,2019-12-20,2026-08-12,2,1,7,11,0,0,19,8
이영한,lee-yeonghan,저그,Z,3,4,42.9,25,38,39.7,7,2021-03-26,2023-05-29,2,2,8,10,17,28,0,0
김윤환,kim-yunhwan,저그,Z,2,1,66.7,18,9,66.7,3,2019-08-02,2022-07-21,2,1,14,4,4,5,0,0
김정우,kim-jeongu,저그,Z,2,1,66.7,15,12,55.6,3,2021-02-26,2025-10-01,2,1,3,6,12,6,0,0
정영재,jung-yeongjae,테란,T,2,9,18.2,37,58,38.9,11,2021-04-16,2025-09-03,1,4,0,0,12,24,25,34
조기석,cho-giseok,테란,T,2,10,16.7,39,69,36.1,12,2019-07-22,2026-02-02,1,5,0,0,24,30,15,39
김승현,kim-seunghyeon,프로토스,P,1,0,100.0,5,4,55.6,1,2019-08-02,2019-08-02,1,0,0,0,0,0,5,4
박성균,park-seonggyun,테란,T,1,1,50.0,9,9,50.0,2,2020-06-07,2020-06-13,1,1,0,0,0,0,9,9
윤찬희,yoon-chanhui,테란,T,1,4,20.0,18,27,40.0,5,2020-03-02,2023-08-17,1,3,0,0,10,17,8,10
이영웅,lee-yeongung,테란,T,1,4,20.0,22,23,48.9,5,2025-05-22,2026-07-20,1,2,0,0,11,16,11,7
최호선,choi-hoseon,테란,T,1,6,14.3,23,40,36.5,7,2020-05-09,2025-03-14,1,4,0,0,8,19,15,21
김성현,kim-seonghyeon,테란,T,0,1,0.0,3,6,33.3,1,2019-06-11,2019-06-11,0,1,0,0,3,6,0,0
김윤중,kim-yunjung,프로토스,P,0,3,0.0,8,19,29.6,3,2020-09-21,2024-02-15,0,3,4,5,0,0,4,14
박준오,park-juno,저그,Z,0,1,0.0,1,8,11.1,1,2023-09-07,2023-09-07,0,1,0,0,1,8,0,0
염보성,yeom-boseong,테란,T,0,1,0.0,2,7,22.2,1,2022-07-21,2022-07-21,0,1,0,0,0,0,2,7
윤용태,yoon-yongtae,프로토스,P,0,1,0.0,4,5,44.4,1,2021-01-10,2021-01-10,0,1,0,0,0,0,4,5
이경민,lee-gyeongmin,테란,T,0,1,0.0,2,7,22.2,1,2019-10-07,2019-10-07,0,1,0,0,0,0,2,7
임진묵,lim-jinmuk,테란,T,0,1,0.0,2,7,22.2,1,2020-09-07,2020-09-07,0,1,0,0,0,0,2,7
전태양,jeon-taeyang,테란,T,0,1,0.0,2,7,22.2,1,2024-02-16,2024-02-16,0,1,0,0,2,7,0,0
황병영,hwang-byeongyeong,테란,T,0,4,0.0,9,27,25.0,4,2021-09-25,2026-04-30,0,4,0,0,0,9,9,18
