날짜,선수A,선수B,세트번호,맵
2026-08-20,김명운,김지성,1,Octagon
2026-08-20,김명운,김지성,2,KnockOut
2026-08-20,김명운,김지성,3,Attitude
2026-08-20,김명운,김지성,4,Backrooms
2026-08-20,김명운,김지성,5,Aiolos
2026-08-20,김명운,김지성,6,Octagon
2026-08-20,김명운,김지성,7,Attitude
2026-08-20,김명운,김지성,8,KnockOut
2026-08-20,김명운,김지성,9,Backrooms
2026-08-12,김지성,김택용,1,Aiolos
2026-08-12,김지성,김택용,2,Attitude
2026-08-12,김지성,김택용,3,KnockOut
2026-08-12,김지성,김택용,4,Octagon
2026-08-12,김지성,김택용,5,Backrooms
2026-08-12,김지성,김택용,6,Attitude
2026-08-12,김지성,김택용,7,Aiolos
2026-08-12,김지성,김택용,8,KnockOut
2026-08-12,김지성,김택용,9,Octagon
2026-08-03,김지성,이제동,1,KnockOut
2026-08-03,김지성,이제동,2,Attitude
2026-08-03,김지성,이제동,3,Backrooms
2026-08-03,김지성,이제동,4,Aiolos
2026-08-03,김지성,이제동,5,Octagon
2026-08-03,김지성,이제동,6,Attitude
2026-08-03,김지성,이제동,7,Backrooms
2026-08-03,김지성,이제동,8,KnockOut
2026-08-03,김지성,이제동,9,Octagon
2026-07-29,김지성,조일장,1,Octagon
2026-07-29,김지성,조일장,2,Backrooms
2026-07-29,김지성,조일장,3,Attitude
2026-07-29,김지성,조일장,4,Aiolos
2026-07-29,김지성,조일장,5,KnockOut
2026-07-29,김지성,조일장,6,Octagon
2026-07-29,김지성,조일장,7,Attitude
2026-07-29,김지성,조일장,8,Backrooms
2026-07-29,김지성,조일장,9,KnockOut
2026-07-27,장윤철,조일장,1,Colorless Fate
2026-07-27,장윤철,조일장,2,Octagon
2026-07-27,장윤철,조일장,3,Aiolos
2026-07-27,장윤철,조일장,4,Backrooms
2026-07-27,장윤철,조일장,5,KnockOut
2026-07-27,장윤철,조일장,6,Backrooms
2026-07-27,장윤철,조일장,7,Octagon
2026-07-27,장윤철,조일장,8,Colorless Fate
2026-07-27,장윤철,조일장,9,Aiolos
2026-07-20,이영웅,장윤철,1,Colorless Fate
2026-07-20,이영웅,장윤철,2,Octagon
2026-07-20,이영웅,장윤철,3,Aiolos
2026-07-20,이영웅,장윤철,4,KnockOut
2026-07-20,이영웅,장윤철,5,Backrooms
2026-07-20,이영웅,장윤철,6,Aiolos
2026-07-20,이영웅,장윤철,7,Octagon
2026-07-20,이영웅,장윤철,8,KnockOut
2026-07-20,이영웅,장윤철,9,Backrooms
2026-07-16,유영진,조일장,1,Octagon
2026-07-16,유영진,조일장,2,Attitude
2026-07-16,유영진,조일장,3,KnockOut
2026-07-16,유영진,조일장,4,Aiolos
2026-07-16,유영진,조일장,5,Odyssey
2026-07-16,유영진,조일장,6,Attitude
2026-07-16,유영진,조일장,7,Odyssey
2026-07-16,유영진,조일장,8,Octagon
2026-07-16,유영진,조일장,9,KnockOut
2026-07-13,박상현,유영진,1,Neo Sylphid
2026-07-13,박상현,유영진,2,Pole Star
2026-07-13,박상현,유영진,3,Attitude
2026-07-13,박상현,유영진,4,Octagon
2026-07-13,박상현,유영진,5,KnockOut
2026-07-13,박상현,유영진,6,Pole Star
2026-07-13,박상현,유영진,7,Neo Sylphid
2026-07-13,박상현,유영진,8,Octagon
2026-07-13,박상현,유영진,9,Attitude
2026-07-06,변현제,유영진,1,Neo Sylphid
2026-07-06,변현제,유영진,2,Match Point
2026-07-06,변현제,유영진,3,Pole Star
2026-07-06,변현제,유영진,4,KnockOut
2026-07-06,변현제,유영진,5,Octagon
2026-07-06,변현제,유영진,6,Pole Star
2026-07-06,변현제,유영진,7,Match Point
2026-07-06,변현제,유영진,8,KnockOut
2026-07-06,변현제,유영진,9,Octagon
2026-06-30,김민철,유영진,1,Match Point
2026-06-30,김민철,유영진,2,Attitude
2026-06-30,김민철,유영진,3,Octagon
2026-06-30,김민철,유영진,4,Neo Sylphid
2026-06-30,김민철,유영진,5,KnockOut
2026-06-30,김민철,유영진,6,Attitude
