ASL,,,,,,,,,,,,,
경기번호,구분,선수명,종족,승/패,MAP,승/패,종족,선수명,,,,,
1,"대국민 
스타리그
32강",김택용,P,승,서킷브레이커,패,Z,김건욱,,선수 1,상대 전적,,선수 2
2,,한상봉,Z,승,서킷브레이커,패,T,신상문,,김성대,0,1,김재현
3,,한상봉,Z,패,투혼,승,P,김택용,,,,,
4,,김건욱,Z,승,투혼,패,T,신상문,,,,,
5,,김건욱,Z,승,매치포인트,패,Z,한상봉,,,,,
6,,김명운,Z,승,서킷브레이커,패,P,김봉준,,,,,
7,,임진묵,T,승,서킷브레이커,패,T,유영진,,,,,
8,,임진묵,T,패,투혼,승,Z,김명운,,,,,
9,,김봉준,P,패,투혼,승,T,유영진,,,,,
10,,임진묵,T,패,매치포인트,승,T,유영진,,,,,
11,,최호선,T,패,서킷브레이커,승,Z,임홍규,,,,,
12,,김윤중,P,패,서킷브레이커,승,P,진영화,,,,,
13,,임홍규,Z,승,투혼,패,P,진영화,,,,,
14,,김윤중,P,패,투혼,승,T,최호선,,,,,
15,,진영화,P,패,매치포인트,승,T,최호선,,,,,
16,,서문지훈,Z,패,서킷브레이커,승,T,구성훈,,,,,
17,,김정우,Z,승,서킷브레이커,패,P,박세정,,,,,
18,,김정우,Z,패,투혼,승,T,구성훈,,,,,
19,,서문지훈,Z,승,투혼,패,P,박세정,,,,,
20,,서문지훈,Z,패,매치포인트,승,Z,김정우,,,,,
21,,박재현,P,패,서킷브레이커,승,T,조기석,,,,,
22,,박성균,T,패,서킷브레이커,승,T,강정우,,,,,
23,,조기석,T,승,투혼,패,T,강정우,,,,,
24,,박성균,T,승,투혼,패,P,박재현,,,,,
25,,박성균,T,승,매치포인트,패,T,강정우,,,,,
26,,박성준,Z,승,서킷브레이커,패,Z,심대성,,,,,
27,,김재훈,P,승,서킷브레이커,패,T,김재현,,,,,
28,,김재훈,P,승,투혼,패,Z,박성준,,,,,
29,,심대성,Z,패,투혼,승,T,김재현,,,,,
30,,박성준,Z,승,매치포인트,패,T,김재현,,,,,
31,,조일장,Z,승,서킷브레이커,패,P,정윤성,,,,,
32,,염보성,T,패,서킷브레이커,승,P,김승현,,,,,
33,,조일장,Z,패,투혼,승,P,김승현,,,,,
34,,염보성,T,승,투혼,패,P,정윤성,,,,,
35,,염보성,T,승,매치포인트,패,Z,조일장,,,,,
36,,윤용태,P,패,서킷브레이커,승,T,김성현,,,,,
37,,윤찬희,T,승,서킷브레이커,패,Z,김상곤,,,,,
38,,윤찬희,T,패,투혼,승,T,김성현,,,,,
39,,윤용태,P,승,투혼,패,Z,김상곤,,,,,
40,,윤용태,P,승,매치포인트,패,T,윤찬희,,,,,
41,"대국민 
스타리그 
16강",김택용,P,승,서킷브레이커,패,P,김재훈,,,,,
42,,김건욱,Z,패,투혼,승,T,조기석,,,,,
43,,김정우,Z,승,매치포인트,패,Z,박성준,,,,,
44,,윤용태,P,패,아카디아 2,승,T,염보성,,,,,
45,,임홍규,Z,승,투혼,패,T,박성균,,,,,
46,,구성훈,T,패,매치포인트,승,T,김성현,,,,,
47,,유영진,T,패,아카디아 2,승,Z,김명운,,,,,
48,,김승현,P,승,서킷브레이커,패,T,최호선,,,,,
49,,김택용,P,승,매치포인트,패,Z,임홍규,,,,,
50,,김건욱,Z,승,아카디아 2,패,T,구성훈,,,,,
51,,김정우,Z,승,서킷브레이커,패,T,유영진,,,,,
52,,윤용태,P,패,투혼,승,P,김승현,,,,,
53,,김재훈,P,패,아카디아 2,승,T,박성균,,,,,
54,,조기석,T,승,서킷브레이커,패,T,김성현,,,,,
55,,박성준,Z,패,투혼,승,Z,김명운,,,,,
56,,염보성,T,패,매치포인트,승,T,최호선,,,,,
57,,김택용,P,패,서킷브레이커,승,T,박성균,,,,,
58,,김건욱,Z,패,투혼,승,T,김성현,,,,,
59,,김정우,Z,패,매치포인트,승,Z,김명운,,,,,
60,,윤용태,P,승,아카디아 2,패,T,최호선,,,,,
61,,김재훈,P,패,투혼,승,Z,임홍규,,,,,
62,,조기석,T,승,매치포인트,패,T,구성훈,,,,,
63,,박성준,Z,승,아카디아 2,패,T,유영진,,,,,
64,,염보성,T,패,서킷브레이커,승,P,김승현,,,,,
65,,김택용,P,승,서킷브레이커,패,Z,임홍규,,,,,
66,,김택용,P,승,투혼,패,T,박성균,,,,,
67,,임홍규,Z,패,매치포인트,승,T,박성균,,,,,
68,,최호선,T,패,서킷브레이커,승,P,윤용태,,,,,
69,,최호선,T,패,투혼,승,T,염보성,,,,,
70,,윤용태,P,승,매치포인트,패,T,염보성,,,,,
71,"대국민 
스타리그 
8강",김택용,P,승,서킷브레이커,패,T,김성현,,,,,
72,,김택용,P,승,글래디에이터,패,T,김성현,,,,,
73,,김택용,P,승,매치포인트,패,T,김성현,,,,,
74,,조기석,T,패,서킷브레이커,승,T,박성균,,,,,
75,,조기석,T,승,투혼,패,T,박성균,,,,,
76,,조기석,T,승,매치포인트,패,T,박성균,,,,,
77,,조기석,T,승,글래디에이터,패,T,박성균,,,,,
78,,김명운,Z,승,투혼,패,P,윤용태,,,,,
79,,김명운,Z,패,글래디에이터,승,P,윤용태,,,,,
80,,김명운,Z,승,서킷브레이커,패,P,윤용태,,,,,
81,,김명운,Z,승,매치포인트,패,P,윤용태,,,,,
82,,김승현,P,승,서킷브레이커,패,Z,김정우,,,,,
83,,김승현,P,패,매치포인트,승,Z,김정우,,,,,
84,,김승현,P,패,글래디에이터,승,Z,김정우,,,,,
85,,김승현,P,패,투혼,승,Z,김정우,,,,,
