"Winner","Race","Loser","Race","Map","Date","Prize","Double Chance","","","","","","","","","","","","","","","","","","",""
"이영호","T","도재욱","P","Fighting Spirit","2019-05-14","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"이영호","T","도재욱","P","Circuit Breakers","2019-05-14","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"이영호","T","도재욱","P","Neo Medusa","2019-05-14","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"이영호","T","도재욱","P","Colosseum 2","2019-05-14","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"도재욱","P","이영호","T","Neo Ground Zero","2019-05-14","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"도재욱","P","이영호","T","Overwatch","2019-05-14","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"이영호","T","도재욱","P","Cross Game","2019-05-14","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"이영호","T","도재욱","P","Fighting Spirit","2019-05-14","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"이영호","T","도재욱","P","Circuit Breakers","2019-05-14","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"김민철","Z","이영호","T","Neo Medusa","2019-05-21","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"김민철","Z","이영호","T","Fighting Spirit","2019-05-21","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"김민철","Z","이영호","T","Overwatch","2019-05-21","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"이영호","T","김민철","Z","Circuit Breakers","2019-05-21","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"이영호","T","김민철","Z","Colosseum 2","2019-05-21","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"이영호","T","김민철","Z","Cross Game","2019-05-21","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"이영호","T","김민철","Z","Neo Ground Zero","2019-05-21","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"이영호","T","김민철","Z","Neo Medusa","2019-05-21","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"이영호","T","김민철","Z","Overwatch","2019-05-21","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"이영호","T","변현제","P","Colosseum 2","2019-05-28","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"이영호","T","변현제","P","Cross Game","2019-05-28","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"이영호","T","변현제","P","Circuit Breakers","2019-05-28","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"변현제","P","이영호","T","Overwatch","2019-05-28","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"이영호","T","변현제","P","Neo Ground Zero","2019-05-28","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"이영호","T","변현제","P","Fighting Spirit","2019-05-28","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"변현제","P","이영호","T","Neo Medusa","2019-05-28","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"이영호","T","변현제","P","Circuit Breakers","2019-05-28","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"변현제","P","이영호","T","Neo Medusa","2019-05-28","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"김명운","Z","이영호","T","Neo Ground Zero","2019-06-09","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"김명운","Z","이영호","T","Fighting Spirit","2019-06-09","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"이영호","T","김명운","Z","Circuit Breakers","2019-06-09","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"김명운","Z","이영호","T","Neo Medusa","2019-06-09","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"이영호","T","김명운","Z","Overwatch","2019-06-09","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"이영호","T","김명운","Z","Colosseum 2","2019-06-09","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"김명운","Z","이영호","T","Cross Game","2019-06-09","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"이영호","T","김명운","Z","Fighting Spirit","2019-06-09","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"이영호","T","김명운","Z","Neo Medusa","2019-06-09","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"장윤철","P","김성현","T","Overwatch","2019-06-11","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"장윤철","P","김성현","T","Circuit Breakers","2019-06-11","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"장윤철","P","김성현","T","Fighting Spirit","2019-06-11","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"장윤철","P","김성현","T","Colosseum 2","2019-06-11","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"장윤철","P","김성현","T","Cross Game","2019-06-11","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"김성현","T","장윤철","P","Neo Medusa","2019-06-11","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"김성현","T","장윤철","P","Neo Ground Zero","2019-06-11","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"장윤철","P","김성현","T","Overwatch","2019-06-11","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"김성현","T","장윤철","P","Circuit Breakers","2019-06-11","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"임홍규","Z","장윤철","P","Cross Game","2019-06-18","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"임홍규","Z","장윤철","P","Fighting Spirit","2019-06-18","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"장윤철","P","임홍규","Z","Overwatch","2019-06-18","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"임홍규","Z","장윤철","P","Neo Ground Zero","2019-06-18","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"임홍규","Z","장윤철","P","Neo Medusa","2019-06-18","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"임홍규","Z","장윤철","P","Circuit Breakers","2019-06-18","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"장윤철","P","임홍규","Z","Colosseum 2","2019-06-18","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"장윤철","P","임홍규","Z","Neo Ground Zero","2019-06-18","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"장윤철","P","임홍규","Z","Circuit Breakers","2019-06-18","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"임홍규","Z","송병구","P","Circuit Breakers","2019-06-25","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"임홍규","Z","송병구","P","Fighting Spirit","2019-06-25","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"송병구","P","임홍규","Z","Overwatch","2019-06-25","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"임홍규","Z","송병구","P","Neo Ground Zero","2019-06-25","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"임홍규","Z","송병구","P","Colosseum 2","2019-06-25","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"송병구","P","임홍규","Z","Neo Medusa","2019-06-25","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"송병구","P","임홍규","Z","Cross Game","2019-06-25","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"임홍규","Z","송병구","P","Circuit Breakers","2019-06-25","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"송병구","P","임홍규","Z","Cross Game","2019-06-25","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"임홍규","Z","조기석","T","Fighting Spirit","2019-07-22","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"조기석","T","임홍규","Z","Block Chain SE","2019-07-22","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"조기석","T","임홍규","Z","Power Bond","2019-07-22","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"임홍규","Z","조기석","T","Overwatch","2019-07-22","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"조기석","T","임홍규","Z","Gladiator","2019-07-22","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"임홍규","Z","조기석","T","New Bloody Ridge","2019-07-22","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"임홍규","Z","조기석","T","Tres Pass","2019-07-22","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"조기석","T","임홍규","Z","Neo Sylphid","2019-07-22","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"임홍규","Z","조기석","T","Circuit Breakers","2019-07-22","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"이재호","T","임홍규","Z","New Bloody Ridge","2019-07-29","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"임홍규","Z","이재호","T","Neo sylphid","2019-07-29","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"이재호","T","임홍규","Z","Overwatch","2019-07-29","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"이재호","T","임홍규","Z","Block Chain SE","2019-07-29","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
