"2026 끝장전 중계진 승자 예측 정리 날짜","선수1","선수2","세트","맵","갯수","중계진","선택","성공/실패","","2026 중계진 미션 성공 지수 순위 순위","이름","전체","승","승률","지수","수익률","","","","","","","","","",""
"2026-01-05","박상현(Z)","도재욱(P)","SET 2","Radeon","1380","박상현 캐스터","박상현(Z)","성공","","1","박상현","87","49","56.32%","+13,709","+9.4%","","","","","","","","","",""
"2026-01-05","박상현(Z)","도재욱(P)","SET 3","Litmus","1000","임성춘 해설","도재욱(P)","성공","","2","임성춘","107","50","46.73%","-3,331","-1.3%","","","","","","","","","",""
"2026-01-05","박상현(Z)","도재욱(P)","SET 4","Pole Star","1000","임성춘 해설","도재욱(P)","실패","","3","이승원","73","34","46.58%","-35,841","-19.3%","","","","","","","","","",""
"2026-01-05","박상현(Z)","도재욱(P)","SET 5","KnockOut","1000","임성춘 해설","도재욱(P)","실패","","","","","","","","","","","","","","","","","",""
"2026-01-05","박상현(Z)","도재욱(P)","SET 6","Litmus","1000","임성춘 해설","도재욱(P)","실패","","","","","","","","","","","","","","","","","",""
"2026-01-05","박상현(Z)","도재욱(P)","SET 7","Metropolis","1000","임성춘 해설","박상현(Z)","성공","","","","","","","","","","","","","","","","","",""
"2026-01-05","박상현(Z)","도재욱(P)","SET 8","KnockOut","1000","임성춘 해설","박상현(Z)","실패","","","","","","","","","","","","","","","","","",""
"2026-01-05","박상현(Z)","도재욱(P)","SET 9","Pole Star","3026","임성춘 해설","도재욱(P)","실패","","","","","","","","","","","","","","","","","",""
"2026-01-12","박상현(Z)","유영진(T)","SET 2","Metropolis","500","임성춘 해설","박상현(Z)","실패","","","","","","","","","","","","","","","","","",""
"2026-01-12","박상현(Z)","유영진(T)","SET 3","Radeon","2000","이승원 해설","박상현(Z)","성공","","","SET별 성공률","","","","","","","","","","","","","","",""
"2026-01-12","박상현(Z)","유영진(T)","SET 4","Dominator","1000","임성춘 해설","유영진(T)","실패","","","","","","","","","","","","","","","","","",""
"2026-01-12","박상현(Z)","유영진(T)","SET 5","Roaring Currents","2000","박상현 캐스터","박상현(Z)","성공","","","1","17","0.4705882353","","","","","","","","","","","","",""
"2026-01-12","박상현(Z)","유영진(T)","SET 6","Pole Star","1000","임성춘 해설","유영진(T)","성공","","","2","28","0.5714285714","","","","","","","","","","","","",""
"2026-01-12","박상현(Z)","유영진(T)","SET 7","Radeon","2000","이승원 해설","박상현(Z)","성공","","","3","27","0.5185185185","","","","","","","","","","","","",""
"2026-01-12","박상현(Z)","유영진(T)","SET 8","Metropolis","2000","임성춘 해설","박상현(Z)","실패","","","4","31","0.4193548387","","","","","","","","","","","","",""
"2026-01-12","박상현(Z)","유영진(T)","SET 9","Dominator","1000","박상현 캐스터","박상현(Z)","실패","","","5","30","0.5333333333","","","","","","","","","","","","",""
"2026-01-12","박상현(Z)","유영진(T)","SET 9","Dominator","1000","이승원 해설","유영진(T)","성공","","","6","31","0.6129032258","","","","","","","","","","","","",""
"2026-01-19","박상현(Z)","이영웅(T)","SET 1","Pole Star","500","박상현 캐스터","박상현(Z)","성공","","","7","34","0.6176470588","","","","","","","","","","","","",""
"2026-01-19","박상현(Z)","이영웅(T)","SET 2","Metropolis","500","박상현 캐스터","이영웅(T)","성공","","","8","34","0.3529411765","","","","","","","","","","","","",""
"2026-01-19","박상현(Z)","이영웅(T)","SET 3","Litmus","2000","이승원 해설","이영웅(T)","실패","","","9","35","0.4","","","","","","","","","","","","",""
"2026-01-19","박상현(Z)","이영웅(T)","SET 4","Radeon","4000","임성춘 해설","이영웅(T)","성공","","","","","","","","","","","","","","","","","",""
"2026-01-19","박상현(Z)","이영웅(T)","SET 5","KnockOut","1000","임성춘 해설","박상현(Z)","성공","","","","","","","","","","","","","","","","","",""
"2026-01-19","박상현(Z)","이영웅(T)","SET 6","Pole Star","1000","임성춘 해설","이영웅(T)","실패","","","","","","","","","","","","","","","","","",""
"2026-01-19","박상현(Z)","이영웅(T)","SET 7","Metropolis","1000","박상현 캐스터","박상현(Z)","실패","","","","","","","","","","","","","","","","","",""
"2026-01-19","박상현(Z)","이영웅(T)","SET 8","Radeon","1500","임성춘 해설","이영웅(T)","실패","","","","","","","","","","","","","","","","","",""
"2026-01-19","박상현(Z)","이영웅(T)","SET 9","Litmus","2000","박상현 캐스터","박상현(Z)","실패","","","","","","","","","","","","","","","","","",""
"2026-01-26","송병구(P)","조기석(T)","SET 1","Metropolis","300","임성춘 해설","조기석(T)","실패","","","","","","","","","","","","","","","","","",""
"2026-01-26","송병구(P)","조기석(T)","SET 2","Radeon","500","이승원 해설","조기석(T)","성공","","","","","","","","","","","","","","","","","",""
"2026-01-26","송병구(P)","조기석(T)","SET 3","Dominator","1000","박상현 캐스터","송병구(P)","성공","","","","","","","","","","","","","","","","","",""
"2026-01-26","송병구(P)","조기석(T)","SET 4","KnockOut","300","임성춘 해설","송병구(P)","실패","","","","","","","","","","","","","","","","","",""
"2026-01-26","송병구(P)","조기석(T)","SET 5","Litmus","300","임성춘 해설","송병구(P)","실패","","","","","","","","","","","","","","","","","",""
"2026-01-26","송병구(P)","조기석(T)","SET 6","Litmus","500","임성춘 해설","조기석(T)","성공","","","","","","","","","","","","","","","","","",""
"2026-01-26","송병구(P)","조기석(T)","SET 7","Dominator","5000","이승원 해설","조기석(T)","성공","","","","","","","","","","","","","","","","","",""
"2026-01-26","송병구(P)","조기석(T)","SET 8","Metropolis","5000","박상현 캐스터","조기석(T)","실패","","","","","","","","","","","","","","","","","",""
"2026-01-26","송병구(P)","조기석(T)","SET 9","KnockOut","5000","임성춘 해설","송병구(P)","실패","","","","","","","","","","","","","","","","","",""
"2026-02-02","박상현(Z)","조기석(T)","SET 1","Radeon","200","박상현 캐스터","박상현(Z)","성공","","","","","","","","","","","","","","","","","",""
"2026-02-02","박상현(Z)","조기석(T)","SET 1","Radeon","237","임성춘 해설","조기석(T)","실패","","","","","","","","","","","","","","","","","",""
"2026-02-02","박상현(Z)","조기석(T)","SET 2","KnockOut","500","임성춘 해설","박상현(Z)","성공","","","","","","","","","","","","","","","","","",""
